"run_ID"	"omni_ns_pvalue"	"omni_ns_stdpvalue"	"omni_is_pvalue"	"omni_is_stdpvalue"	"omni_ls_pvalue"	"omni_ls_stdpvalue"	"link_ns_pvalue"	"link_ns_stdpvalue"	"link_is_pvalue"	"link_is_stdpvalue"	"link_ls_pvalue"	"link_ls_stdpvalue"	"form_ns_pvalue"	"form_ns_stdpvalue"	"form_is_pvalue"	"form_is_stdpvalue"	"form_ls_pvalue"	"form_ls_stdpvalue"
36	0.584	0.074	0.584	0.074	0.61	0.046	0.5	0.034	0.5	0.034	0.478	0.022	0.422	0.052	0.422	0.052	0.43	0.054
34	0.814	0.418	0.814	0.418	0.782	0.37	0.752	0.1	0.752	0.1	0.74	0.078	0.196	0.18	0.196	0.18	0.162	0.178
35	0.236	0.236	0.236	0.236	0.258	0.186	0.13	0.064	0.13	0.064	0.156	0.036	0.196	0.068	0.196	0.068	0.212	0.038
31	0.484	0.196	0.484	0.196	0.37	0.208	0.434	0.06	0.434	0.06	0.508	0.078	0.524	0.046	0.524	0.046	0.604	0.076
16	0.678	0.24	0.678	0.24	0.73	0.38	0.618	0.22	0.618	0.22	0.662	0.296	0.838	0.826	0.838	0.826	0.882	0.902
21	0.528	0.038	0.528	0.038	0.516	0.04	0.44	0.006	0.44	0.006	0.384	0.006	0.334	0.004	0.334	0.004	0.282	0.01
20	0.626	0.146	0.626	0.146	0.57	0.18	0.646	0.104	0.646	0.104	0.618	0.072	0.49	0.252	0.49	0.252	0.43	0.274
25	0.65	0.69	0.65	0.69	0.736	0.714	0.584	0.354	0.584	0.354	0.676	0.422	0.672	0.37	0.672	0.37	0.772	0.442
22	0.254	0.584	0.254	0.584	0.196	0.274	0.274	0.488	0.274	0.488	0.216	0.376	0.354	0.478	0.354	0.478	0.29	0.376
29	0.88	0.374	0.88	0.374	0.85	0.378	0.92	0.276	0.92	0.276	0.904	0.218	0.862	0.606	0.862	0.606	0.916	0.652
14	0.192	0.278	0.192	0.278	0.334	0.286	0.18	0.072	0.18	0.072	0.288	0.07	0.242	0.076	0.242	0.076	0.354	0.07
13	0.25	0.524	0.25	0.524	0.234	0.528	0.254	0.068	0.254	0.068	0.25	0.082	0.31	0.492	0.31	0.492	0.302	0.512
30	0.912	0.104	0.912	0.104	0.934	0.166	0.658	0.038	0.658	0.038	0.726	0.046	0.128	0.062	0.128	0.062	0.15	0.032
15	0.302	0.47	0.302	0.47	0.286	0.386	0.282	0.448	0.282	0.448	0.266	0.394	0.33	0.426	0.33	0.426	0.32	0.422
18	0.582	0.094	0.582	0.094	0.544	0.032	0.632	0.422	0.632	0.422	0.794	0.614	0.65	0.284	0.65	0.284	0.736	0.43
8	0.966	0.978	0.966	0.978	0.992	0.99	0.788	0.832	0.788	0.832	0.872	0.91	0.834	0.838	0.834	0.838	0.898	0.882
27	0.664	0.352	0.664	0.352	0.728	0.358	0.458	0.69	0.458	0.69	0.484	0.57	0.472	0.326	0.472	0.326	0.488	0.254
