"run_ID"	"omni_ns_pvalue"	"omni_ns_stdpvalue"	"omni_is_pvalue"	"omni_is_stdpvalue"	"omni_ls_pvalue"	"omni_ls_stdpvalue"	"link_ns_pvalue"	"link_ns_stdpvalue"	"link_is_pvalue"	"link_is_stdpvalue"	"link_ls_pvalue"	"link_ls_stdpvalue"	"form_ns_pvalue"	"form_ns_stdpvalue"	"form_is_pvalue"	"form_is_stdpvalue"	"form_ls_pvalue"	"form_ls_stdpvalue"
11	0.87	0.238	0.87	0.238	0.794	0.2	0.62	0.088	0.62	0.088	0.588	0.066	0.376	0.062	0.376	0.062	0.328	0.044
10	0.044	0.006	0.044	0.006	0.034	0.002	0.03	0.004	0.03	0.004	0.008	0.002	0.038	0.004	0.038	0.004	0.012	0
19	0.216	0.184	0.216	0.184	0.27	0.214	0.184	0.094	0.184	0.094	0.248	0.15	0.204	0.04	0.204	0.04	0.264	0.036
24	0.142	0.056	0.142	0.056	0.102	0.046	0.212	0.018	0.212	0.018	0.154	0.016	0.2	0.016	0.2	0.016	0.164	0.01
1	0.034	0.142	0.034	0.142	0.062	0.226	0.04	0.162	0.04	0.162	0.052	0.198	0.046	0.016	0.046	0.016	0.06	0.01
23	0.05	0.008	0.05	0.008	0.076	0.014	0.052	0.002	0.052	0.002	0.08	0.004	0.064	0.002	0.064	0.002	0.086	0.002
45	0.104	0.056	0.104	0.056	0.068	0.052	0.058	0.03	0.058	0.03	0.042	0.018	0.058	0.008	0.058	0.008	0.048	0.01
46	0.062	0.032	0.062	0.032	0.134	0.052	0.03	0.016	0.03	0.016	0.06	0.018	0.048	0.008	0.048	0.008	0.096	0.008
59	0.186	0.02	0.186	0.02	0.098	0.006	0.114	0.006	0.114	0.006	0.052	0.004	0.128	0.002	0.128	0.002	0.056	0.002
57	0.092	0.04	0.092	0.04	0.078	0.022	0.064	0.026	0.064	0.026	0.048	0.02	0.076	0.04	0.076	0.04	0.054	0.012
64	0.126	0.024	0.126	0.024	0.14	0.036	0.096	0.006	0.096	0.006	0.112	0.016	0.104	0.004	0.104	0.004	0.118	0.012
60	0.126	0.012	0.126	0.012	0.164	0.014	0.082	0.006	0.082	0.006	0.088	0.004	0.02	0.002	0.02	0.002	0.008	0.002
67	0.096	0	0.096	0	0.092	0.004	0.054	0	0.054	0	0.058	0.002	0.062	0	0.062	0	0.06	0
44	0.458	0.272	0.458	0.272	0.228	0.122	0.818	0.142	0.818	0.142	0.58	0.064	0.48	0.038	0.48	0.038	0.498	0.034
43	0.69	0.212	0.69	0.212	0.724	0.258	0.422	0.068	0.422	0.068	0.466	0.078	0.544	0.078	0.544	0.078	0.554	0.074
51	0.334	0.054	0.334	0.054	0.348	0.054	0.194	0.018	0.194	0.018	0.204	0.022	0.218	0.012	0.218	0.012	0.192	0.006
41	0.532	0.034	0.532	0.034	0.502	0.068	0.312	0.014	0.312	0.014	0.384	0.02	0.204	0.008	0.204	0.008	0.134	0.006
52	0.234	0.14	0.234	0.14	0.04	0.014	0.144	0.078	0.144	0.078	0.016	0.008	0.138	0.04	0.138	0.04	0.02	0.004
42	0.086	0.01	0.086	0.01	0.068	0.024	0.12	0.006	0.12	0.006	0.09	0.008	0.08	0	0.08	0	0.072	0.004
61	0.21	0.064	0.21	0.064	0.134	0.058	0.116	0.012	0.116	0.012	0.078	0.016	0.144	0.02	0.144	0.02	0.09	0.026
62	0.052	0.01	0.052	0.01	0.038	0.006	0.058	0.028	0.058	0.028	0.042	0.046	0.06	0	0.06	0	0.04	0.004
47	0.102	0	0.102	0	0.108	0.004	0.064	0	0.064	0	0.054	0	0.074	0	0.074	0	0.06	0
63	0.074	0.052	0.074	0.052	0.098	0.066	0.098	0.026	0.098	0.026	0.134	0.042	0.102	0.008	0.102	0.008	0.09	0.008
66	0.4	0.04	0.4	0.04	0.398	0.04	0.238	0.01	0.238	0.01	0.228	0.012	0.216	0.014	0.216	0.014	0.24	0.012
65	0.532	0.022	0.532	0.022	0.406	0.02	0.362	0.006	0.362	0.006	0.26	0.004	0.314	0.004	0.314	0.004	0.286	0.006
40	0.344	0.036	0.344	0.036	0.412	0.006	0.23	0.012	0.23	0.012	0.242	0.002	0.056	0	0.056	0	0.044	0
58	0.304	0.022	0.304	0.022	0.194	0.058	0.23	0.008	0.23	0.008	0.162	0.026	0.108	0.006	0.108	0.006	0.086	0.008
48	0.158	0.036	0.158	0.036	0.082	0.044	0.304	0.014	0.304	0.014	0.33	0.014	0.166	0.004	0.166	0.004	0.144	0.004
49	0.018	0.02	0.018	0.02	0.006	0.018	0.012	0.002	0.012	0.002	0.002	0.012	0.004	0.002	0.004	0.002	0.002	0.002
50	0.358	0.274	0.358	0.274	0.284	0.16	0.232	0.056	0.232	0.056	0.176	0.058	0.248	0.132	0.248	0.132	0.19	0.058
55	0.018	0.002	0.018	0.002	0.032	0	0.01	0.004	0.01	0.004	0.016	0	0.012	0	0.012	0	0.022	0
56	0.056	0.016	0.056	0.016	0.054	0.01	0.028	0.01	0.028	0.01	0.024	0.002	0.03	0	0.03	0	0.028	0
68	0.03	0	0.03	0	0.03	0	0.018	0	0.018	0	0.012	0	0.022	0	0.022	0	0.016	0
53	0.134	0.058	0.134	0.058	0.146	0.02	0.242	0.032	0.242	0.032	0.246	0.014	0.298	0.016	0.298	0.016	0.284	0.006
77	0.526	0.16	0.526	0.16	0.442	0.11	0.392	0.096	0.392	0.096	0.318	0.084	0.128	0.006	0.128	0.006	0.12	0.002
76	0.334	0.052	0.334	0.052	0.22	0.016	0.392	0.032	0.392	0.032	0.3	0.008	0.434	0.018	0.434	0.018	0.332	0.004
54	0.054	0.004	0.054	0.004	0.082	0.006	0.038	0.004	0.038	0.004	0.036	0.002	0.042	0	0.042	0	0.044	0.002
73	0.168	0.004	0.168	0.004	0.054	0.02	0.12	0.002	0.12	0.002	0.04	0.006	0.034	0.002	0.034	0.002	0.016	0
72	0.064	0	0.064	0	0.07	0	0.05	0	0.05	0	0.056	0	0.036	0.002	0.036	0.002	0.062	0
71	0.104	0.052	0.104	0.052	0.088	0.042	0.16	0.026	0.16	0.026	0.162	0.046	0.028	0.006	0.028	0.006	0.028	0.01
78	0.27	0.034	0.27	0.034	0.244	0.014	0.182	0.012	0.182	0.012	0.156	0.006	0.232	0.01	0.232	0.01	0.184	0.002
70	0.338	0.05	0.338	0.05	0.252	0.042	0.252	0.038	0.252	0.038	0.292	0.07	0.12	0.044	0.12	0.044	0.142	0.044
75	0.274	0.024	0.274	0.024	0.06	0.002	0.182	0.016	0.182	0.016	0.042	0.002	0.2	0.024	0.2	0.024	0.046	0
74	0.252	0.02	0.252	0.02	0.222	0.018	0.172	0.008	0.172	0.008	0.142	0.014	0.098	0.008	0.098	0.008	0.122	0.008
69	0.256	0.058	0.256	0.058	0.348	0.062	0.182	0.034	0.182	0.034	0.264	0.026	0.092	0.014	0.092	0.014	0.076	0.016
86	0.386	0.044	0.386	0.044	0.22	0.016	0.234	0.014	0.234	0.014	0.122	0.004	0.19	0.01	0.19	0.01	0.14	0.006
95	0.094	0.028	0.094	0.028	0.132	0.034	0.07	0.006	0.07	0.006	0.108	0.014	0.05	0	0.05	0	0.042	0.01
85	0.068	0.038	0.068	0.038	0.036	0.024	0.034	0.02	0.034	0.02	0.026	0.008	0.036	0.002	0.036	0.002	0.026	0.006
91	0.19	0.018	0.19	0.018	0.174	0.012	0.116	0.008	0.116	0.008	0.11	0	0.126	0.002	0.126	0.002	0.124	0
84	0.164	0.004	0.164	0.004	0.136	0.002	0.102	0.004	0.102	0.004	0.124	0	0.028	0.004	0.028	0.004	0.024	0
92	0.314	0.042	0.314	0.042	0.442	0.09	0.202	0.01	0.202	0.01	0.252	0.026	0.118	0.008	0.118	0.008	0.092	0.012
83	0.158	0.012	0.158	0.012	0.136	0.012	0.078	0.002	0.078	0.002	0.078	0.006	0.11	0.004	0.11	0.004	0.09	0.004
81	0.078	0.004	0.078	0.004	0.026	0	0.044	0.002	0.044	0.002	0.012	0	0.06	0	0.06	0	0.022	0
87	0.136	0.094	0.136	0.094	0.108	0.076	0.116	0.154	0.116	0.154	0.096	0.106	0.138	0.032	0.138	0.032	0.122	0.042
82	0.24	0.02	0.24	0.02	0.312	0.024	0.15	0.006	0.15	0.006	0.202	0.008	0.118	0.004	0.118	0.004	0.108	0.006
80	0.102	0.01	0.102	0.01	0.116	0.018	0.044	0.002	0.044	0.002	0.06	0.004	0.014	0.002	0.014	0.002	0.008	0
79	0.034	0.064	0.034	0.064	0.018	0.018	0.03	0.074	0.03	0.074	0.018	0.022	0.048	0.018	0.048	0.018	0.026	0.022
89	0.688	0.05	0.688	0.05	0.638	0.08	0.928	0.106	0.928	0.106	0.932	0.134	0.072	0	0.072	0	0.082	0.01
90	0.128	0.008	0.128	0.008	0.148	0.004	0.086	0.024	0.086	0.024	0.092	0.02	0.006	0	0.006	0	0.016	0.002
88	0.256	0.008	0.256	0.008	0.172	0.004	0.206	0.01	0.206	0.01	0.146	0.01	0.222	0.038	0.222	0.038	0.158	0.04
93	0.262	0.004	0.262	0.004	0.236	0.006	0.148	0.002	0.148	0.002	0.144	0.006	0.058	0	0.058	0	0.058	0.004
94	0.316	0.088	0.316	0.088	0.232	0.094	0.322	0.202	0.322	0.202	0.258	0.166	0.222	0.006	0.222	0.006	0.168	0.01
96	0.408	0.046	0.408	0.046	0.496	0.06	0.214	0.012	0.214	0.012	0.326	0.02	0.092	0.006	0.092	0.006	0.066	0.006
98	0.256	0.05	0.256	0.05	0.288	0.04	0.162	0.046	0.162	0.046	0.182	0.032	0.028	0.012	0.028	0.012	0.014	0.008
97	0.054	0.008	0.054	0.008	0.052	0.006	0.078	0.042	0.078	0.042	0.058	0.032	0.042	0.002	0.042	0.002	0.048	0.002
105	0.242	0.064	0.242	0.064	0.188	0.032	0.174	0.034	0.174	0.034	0.132	0.026	0.2	0.052	0.2	0.052	0.15	0.022
99	0.026	0	0.026	0	0.052	0.002	0.02	0	0.02	0	0.05	0	0.022	0	0.022	0	0.054	0
102	0.258	0.056	0.258	0.056	0.184	0.014	0.19	0.01	0.19	0.01	0.138	0.014	0.016	0.004	0.016	0.004	0.028	0.004
100	0.338	0.01	0.338	0.01	0.242	0.02	0.194	0.004	0.194	0.004	0.178	0.012	0.138	0	0.138	0	0.172	0.01
101	0.144	0.018	0.144	0.018	0.108	0.02	0.09	0.014	0.09	0.014	0.074	0.014	0.108	0.012	0.108	0.012	0.094	0.012
103	0.398	0.052	0.398	0.052	0.382	0.072	0.398	0.06	0.398	0.06	0.358	0.036	0.13	0.012	0.13	0.012	0.122	0.008
104	0.068	0.014	0.068	0.014	0.074	0.014	0.076	0.002	0.076	0.002	0.076	0.006	0.082	0.002	0.082	0.002	0.082	0.006
106	0.368	0.018	0.368	0.018	0.29	0.016	0.254	0.006	0.254	0.006	0.202	0.006	0.284	0.004	0.284	0.004	0.222	0.002
108	0.016	0.004	0.016	0.004	0.008	0.004	0.022	0.004	0.022	0.004	0.008	0.004	0.024	0.002	0.024	0.002	0.01	0.002
107	0.336	0.02	0.336	0.02	0.378	0.036	0.204	0.006	0.204	0.006	0.26	0.012	0.07	0.004	0.07	0.004	0.038	0
115	0.204	0.006	0.204	0.006	0.096	0.012	0.084	0.002	0.084	0.002	0.052	0	0.156	0.002	0.156	0.002	0.072	0
111	0.108	0.02	0.108	0.02	0.138	0.008	0.058	0.002	0.058	0.002	0.074	0.006	0.066	0.002	0.066	0.002	0.082	0.004
112	0.268	0.09	0.268	0.09	0.116	0.026	0.154	0.04	0.154	0.04	0.07	0.016	0.172	0.012	0.172	0.012	0.082	0.01
116	0.194	0.014	0.194	0.014	0.168	0.024	0.126	0.014	0.126	0.014	0.114	0.006	0.098	0.002	0.098	0.002	0.116	0
110	0.322	0.046	0.322	0.046	0.14	0.016	0.262	0.024	0.262	0.024	0.118	0.008	0.23	0.02	0.23	0.02	0.126	0.008
109	0.342	0.014	0.342	0.014	0.408	0.01	0.218	0.004	0.218	0.004	0.218	0.002	0.266	0.002	0.266	0.002	0.268	0.002
117	0.166	0.002	0.166	0.002	0.168	0.008	0.098	0.002	0.098	0.002	0.106	0.006	0.112	0	0.112	0	0.118	0.006
114	0.38	0.092	0.38	0.092	0.426	0.074	0.262	0.044	0.262	0.044	0.236	0.026	0.18	0.042	0.18	0.042	0.146	0.018
113	0.076	0.004	0.076	0.004	0.018	0.004	0.05	0	0.05	0	0.01	0.006	0.058	0	0.058	0	0.012	0
125	0.142	0.022	0.142	0.022	0.134	0.032	0.062	0.008	0.062	0.008	0.084	0.01	0.07	0.004	0.07	0.004	0.09	0.01
124	0.052	0.002	0.052	0.002	0.05	0	0.03	0	0.03	0	0.03	0	0.034	0	0.034	0	0.032	0
123	0.188	0.038	0.188	0.038	0.124	0.042	0.132	0.034	0.132	0.034	0.108	0.038	0.07	0	0.07	0	0.082	0.002
122	0.068	0	0.068	0	0.084	0	0.04	0	0.04	0	0.046	0	0.052	0	0.052	0	0.054	0
121	0.008	0.004	0.008	0.004	0.004	0	0.004	0.006	0.004	0.006	0.004	0.002	0.01	0	0.01	0	0.004	0
131	0.204	0.088	0.204	0.088	0.104	0.064	0.114	0.044	0.114	0.044	0.06	0.034	0.124	0.028	0.124	0.028	0.068	0.016
130	0.234	0.032	0.234	0.032	0.184	0.02	0.152	0.016	0.152	0.016	0.1	0.01	0.166	0.006	0.166	0.006	0.122	0.012
126	0.226	0.032	0.226	0.032	0.226	0.044	0.13	0.012	0.13	0.012	0.144	0.014	0.05	0.014	0.05	0.014	0.038	0.004
120	0.182	0.028	0.182	0.028	0.1	0.018	0.106	0.01	0.106	0.01	0.054	0.01	0.128	0.01	0.128	0.01	0.062	0.006
129	0.318	0.116	0.318	0.116	0.422	0.262	0.196	0.044	0.196	0.044	0.256	0.1	0.218	0.028	0.218	0.028	0.302	0.078
127	0.112	0.084	0.112	0.084	0.144	0.082	0.058	0.034	0.058	0.034	0.074	0.05	0.06	0.036	0.06	0.036	0.076	0.03
119	0.094	0	0.094	0	0.064	0	0.042	0.004	0.042	0.004	0.036	0.002	0.048	0	0.048	0	0.04	0
128	0.104	0.012	0.104	0.012	0.074	0	0.07	0.012	0.07	0.012	0.034	0	0.072	0.006	0.072	0.006	0.038	0
118	0.258	0.072	0.258	0.072	0.224	0.124	0.44	0.036	0.44	0.036	0.486	0.062	0.368	0.028	0.368	0.028	0.366	0.026
140	0.244	0.022	0.244	0.022	0.298	0.02	0.136	0.01	0.136	0.01	0.182	0.002	0.144	0.004	0.144	0.004	0.192	0
142	0.11	0.016	0.11	0.016	0.08	0.01	0.062	0.008	0.062	0.008	0.046	0.004	0.054	0.002	0.054	0.002	0.056	0.002
141	0.176	0.024	0.176	0.024	0.098	0.004	0.124	0.008	0.124	0.008	0.042	0.002	0.094	0.006	0.094	0.006	0.044	0
134	0.51	0.152	0.51	0.152	0.446	0.218	0.43	0.128	0.43	0.128	0.29	0.146	0.396	0.13	0.396	0.13	0.29	0.142
132	0.424	0.116	0.424	0.116	0.246	0.176	0.448	0.174	0.448	0.174	0.288	0.226	0.478	0.04	0.478	0.04	0.314	0.03
133	0.166	0.016	0.166	0.016	0.186	0.022	0.11	0.018	0.11	0.018	0.146	0.024	0.12	0.012	0.12	0.012	0.142	0.01
139	0.064	0	0.064	0	0.02	0	0.03	0	0.03	0	0.012	0	0.03	0	0.03	0	0.012	0
143	0.146	0.002	0.146	0.002	0.104	0.004	0.08	0.006	0.08	0.006	0.07	0.008	0.08	0	0.08	0	0.072	0.002
