"run_ID"	"omni_ns_pvalue"	"omni_ns_stdpvalue"	"omni_is_pvalue"	"omni_is_stdpvalue"	"omni_ls_pvalue"	"omni_ls_stdpvalue"	"link_ns_pvalue"	"link_ns_stdpvalue"	"link_is_pvalue"	"link_is_stdpvalue"	"link_ls_pvalue"	"link_ls_stdpvalue"	"form_ns_pvalue"	"form_ns_stdpvalue"	"form_is_pvalue"	"form_is_stdpvalue"	"form_ls_pvalue"	"form_ls_stdpvalue"
22	0.236	0.196	0.236	0.196	0.228	0.226	0.168	0.064	0.168	0.064	0.154	0.076	0.182	0.078	0.182	0.078	0.166	0.086
30	0.042	0.004	0.042	0.004	0.066	0.012	0.03	0.002	0.03	0.002	0.036	0.004	0.042	0.002	0.042	0.002	0.044	0.002
13	0.31	0.096	0.31	0.096	0.266	0.054	0.3	0.02	0.3	0.02	0.254	0.024	0.276	0.034	0.276	0.034	0.266	0.016
18	0.022	0.008	0.022	0.008	0.018	0.01	0.008	0	0.008	0	0.01	0	0.014	0	0.014	0	0.014	0
14	0.23	0.122	0.23	0.122	0.326	0.164	0.22	0.064	0.22	0.064	0.294	0.058	0.254	0.058	0.254	0.058	0.18	0.016
15	0.384	0.002	0.384	0.002	0.342	0.004	0.282	0.006	0.282	0.006	0.244	0.002	0.328	0.01	0.328	0.01	0.292	0.006
17	0.106	0.002	0.106	0.002	0.07	0	0.19	0.006	0.19	0.006	0.148	0	0.218	0.004	0.218	0.004	0.162	0.002
27	0.098	0.088	0.098	0.088	0.068	0.092	0.15	0.03	0.15	0.03	0.1	0.038	0.17	0.054	0.17	0.054	0.12	0.02
8	0.222	0.02	0.222	0.02	0.238	0.018	0.138	0.008	0.138	0.008	0.156	0.006	0.148	0.016	0.148	0.016	0.118	0.014
28	0.606	0.026	0.606	0.026	0.582	0.014	0.48	0.014	0.48	0.014	0.446	0.006	0.368	0.014	0.368	0.014	0.44	0.018
26	0.528	0.246	0.528	0.246	0.586	0.302	0.408	0.146	0.408	0.146	0.434	0.226	0.06	0.018	0.06	0.018	0.042	0.008
3	0.18	0.018	0.18	0.018	0.258	0.014	0.102	0.006	0.102	0.006	0.148	0.004	0.112	0.008	0.112	0.008	0.154	0.008
2	0.102	0.034	0.102	0.034	0.142	0.034	0.046	0.004	0.046	0.004	0.068	0.002	0.072	0	0.072	0	0.1	0.002
4	0.112	0.014	0.112	0.014	0.112	0.01	0.06	0.004	0.06	0.004	0.056	0.006	0.076	0.004	0.076	0.004	0.064	0.004
32	0.246	0.016	0.246	0.016	0.258	0.01	0.16	0.006	0.16	0.006	0.174	0	0.198	0.004	0.198	0.004	0.206	0.004
33	0.07	0.166	0.07	0.166	0.054	0.088	0.04	0.044	0.04	0.044	0.038	0.05	0.05	0.11	0.05	0.11	0.046	0.042
38	0.464	0.68	0.464	0.68	0.764	0.622	0.31	0.376	0.31	0.376	0.558	0.36	0.336	0.088	0.336	0.088	0.368	0.078
37	0.474	0.058	0.474	0.058	0.418	0.064	0.386	0.034	0.386	0.034	0.456	0.024	0.41	0.118	0.41	0.118	0.512	0.086
39	0.08	0.05	0.08	0.05	0.082	0.102	0.052	0.016	0.052	0.016	0.058	0.022	0.064	0.016	0.064	0.016	0.07	0.012
6	0.258	0.008	0.258	0.008	0.26	0	0.128	0.002	0.128	0.002	0.158	0	0.104	0	0.104	0	0.154	0
