"run_ID"	"omni_ns_pvalue"	"omni_ns_stdpvalue"	"omni_is_pvalue"	"omni_is_stdpvalue"	"omni_ls_pvalue"	"omni_ls_stdpvalue"	"link_ns_pvalue"	"link_ns_stdpvalue"	"link_is_pvalue"	"link_is_stdpvalue"	"link_ls_pvalue"	"link_ls_stdpvalue"	"form_ns_pvalue"	"form_ns_stdpvalue"	"form_is_pvalue"	"form_is_stdpvalue"	"form_ls_pvalue"	"form_ls_stdpvalue"
3	0.3	0.008	0.3	0.008	0.276	0.002	0.176	0.002	0.176	0.002	0.17	0	0.114	0	0.114	0	0.184	0
2	0.076	0	0.076	0	0.06	0	0.05	0	0.05	0	0.028	0	0.058	0	0.058	0	0.038	0
26	0.18	0	0.18	0	0.142	0	0.1	0	0.1	0	0.096	0	0.116	0	0.116	0	0.104	0
4	0.26	0.028	0.26	0.028	0.134	0.01	0.146	0.026	0.146	0.026	0.08	0.01	0.178	0.022	0.178	0.022	0.11	0.004
38	0.48	0.004	0.48	0.004	0.286	0.004	0.336	0.002	0.336	0.002	0.38	0.002	0.378	0.002	0.378	0.002	0.332	0.002
32	0.03	0	0.03	0	0.006	0	0.016	0	0.016	0	0.004	0	0.022	0	0.022	0	0.008	0
39	0.28	0.036	0.28	0.036	0.284	0.082	0.148	0.006	0.148	0.006	0.16	0.02	0.168	0.01	0.168	0.01	0.114	0.022
33	0.36	0.072	0.36	0.072	0.432	0.1	0.22	0.012	0.22	0.012	0.242	0.014	0.242	0.032	0.242	0.032	0.284	0.062
37	0.302	0.014	0.302	0.014	0.306	0.012	0.212	0.002	0.212	0.002	0.192	0.002	0.236	0.004	0.236	0.004	0.228	0.002
6	0.07	0	0.07	0	0.068	0.002	0.042	0	0.042	0	0.04	0	0.002	0	0.002	0	0.004	0
7	0.066	0.012	0.066	0.012	0.02	0.012	0.028	0.002	0.028	0.002	0.016	0.002	0.028	0.002	0.028	0.002	0.016	0.004
5	0.096	0.018	0.096	0.018	0.05	0.01	0.12	0.06	0.12	0.06	0.04	0.016	0.058	0.006	0.058	0.006	0.058	0.016
9	0.14	0.024	0.14	0.024	0.138	0.014	0.074	0.014	0.074	0.014	0.078	0.012	0.076	0.006	0.076	0.006	0.074	0.01
12	0.11	0	0.11	0	0.086	0	0.08	0	0.08	0	0.06	0	0.084	0	0.084	0	0.068	0
11	0.04	0	0.04	0	0.014	0	0.018	0	0.018	0	0.01	0	0.018	0	0.018	0	0.016	0
10	0.354	0.024	0.354	0.024	0.354	0.01	0.206	0.02	0.206	0.02	0.226	0.016	0.242	0.016	0.242	0.016	0.274	0.006
19	0.124	0.034	0.124	0.034	0.112	0.024	0.062	0.022	0.062	0.022	0.07	0.02	0.072	0.012	0.072	0.012	0.08	0.024
24	0.05	0.002	0.05	0.002	0.072	0.002	0.028	0	0.028	0	0.054	0.002	0.04	0	0.04	0	0.064	0.002
1	0.012	0	0.012	0	0.02	0.002	0.008	0	0.008	0	0.018	0.002	0.01	0	0.01	0	0.018	0
23	0.152	0.024	0.152	0.024	0.072	0.002	0.108	0.012	0.108	0.012	0.054	0.006	0.126	0.004	0.126	0.004	0.066	0
59	0.358	0.01	0.358	0.01	0.422	0.026	0.22	0.004	0.22	0.004	0.256	0.006	0.152	0.002	0.152	0.002	0.14	0.004
45	0.148	0.054	0.148	0.054	0.136	0.044	0.112	0.018	0.112	0.018	0.104	0.012	0.12	0.018	0.12	0.018	0.134	0.012
46	0.306	0.008	0.306	0.008	0.204	0.002	0.176	0.004	0.176	0.004	0.126	0.002	0.056	0	0.056	0	0.056	0.004
64	0.452	0.034	0.452	0.034	0.516	0.062	0.344	0.028	0.344	0.028	0.404	0.02	0.076	0.006	0.076	0.006	0.058	0.002
57	0.82	0.236	0.82	0.236	0.762	0.222	0.648	0.138	0.648	0.138	0.598	0.184	0.122	0.074	0.122	0.074	0.202	0.146
60	0.57	0.158	0.57	0.158	0.514	0.12	0.456	0.234	0.456	0.234	0.398	0.216	0.098	0.036	0.098	0.036	0.1	0.028
67	0.092	0.004	0.092	0.004	0.078	0.004	0.104	0.002	0.104	0.002	0.074	0.006	0.088	0.002	0.088	0.002	0.082	0.002
44	0.108	0.008	0.108	0.008	0.16	0.024	0.058	0.004	0.058	0.004	0.102	0.008	0.076	0.002	0.076	0.002	0.098	0.004
51	0.034	0.008	0.034	0.008	0.04	0.002	0.012	0.008	0.012	0.008	0.02	0.002	0.012	0.006	0.012	0.006	0.02	0.002
43	0.516	0.026	0.516	0.026	0.358	0.012	0.32	0.01	0.32	0.01	0.286	0	0.246	0.02	0.246	0.02	0.322	0.01
41	0.09	0.012	0.09	0.012	0.094	0	0.052	0.006	0.052	0.006	0.06	0	0.056	0.006	0.056	0.006	0.064	0.002
52	0.04	0	0.04	0	0.044	0	0.032	0	0.032	0	0.028	0.002	0.002	0	0.002	0	0.01	0
42	0.184	0.004	0.184	0.004	0.204	0.004	0.176	0.008	0.176	0.008	0.196	0.006	0.208	0.008	0.208	0.008	0.232	0.006
61	0.116	0.01	0.116	0.01	0.248	0.002	0.07	0.002	0.07	0.002	0.166	0	0.088	0.006	0.088	0.006	0.138	0
47	0.016	0.006	0.016	0.006	0.004	0.002	0.004	0.004	0.004	0.004	0.004	0.004	0.004	0	0.004	0	0.004	0
62	0.162	0	0.162	0	0.146	0	0.076	0	0.076	0	0.09	0	0.03	0	0.03	0	0.016	0
63	0.09	0.004	0.09	0.004	0.066	0.002	0.04	0.002	0.04	0.002	0.036	0	0.052	0.004	0.052	0.004	0.056	0.002
66	0.278	0.008	0.278	0.008	0.216	0.018	0.19	0.002	0.19	0.002	0.14	0.008	0.174	0.002	0.174	0.002	0.146	0.006
65	0.028	0.002	0.028	0.002	0.034	0	0.016	0	0.016	0	0.016	0	0.002	0	0.002	0	0.004	0
40	0.114	0.008	0.114	0.008	0.044	0.004	0.154	0.002	0.154	0.002	0.074	0.002	0.15	0	0.15	0	0.086	0.002
58	0.082	0.018	0.082	0.018	0.098	0.032	0.042	0.006	0.042	0.006	0.058	0.01	0.054	0.008	0.054	0.008	0.062	0.004
