"run_ID"	"omni_ns_linT"	"omni_ns_linF"	"omni_is_linT"	"omni_is_linF"	"omni_ls_linT"	"omni_ls_linF"	"link_ns_linT"	"link_ns_linF"	"link_is_linT"	"link_is_linF"	"link_ls_linT"	"link_ls_linF"	"form_ns_linT"	"form_ns_linF"	"form_is_linT"	"form_is_linF"	"form_ls_linT"	"form_ls_linF"
1	12.152	309.464999999999	10.503	320.816000000001	8.845	209.745	6.69499999999999	317.41	6.736	294.506	5.08799999999999	194.219000000001	6.77000000000001	341.206	6.749	328.914000000001	5.059	167.537999999999
3	15.171	354.699	13.338	354.614	11.475	239.505	7.35299999999998	343.266000000001	7.68599999999998	328.003	5.75	201.728000000001	7.41200000000001	345.499	7.685	310.968999999999	5.36599999999999	204.174999999999
2	14.291	393.517	12.302	408.301	11.057	237.461	7.24600000000001	375.932999999999	7.14500000000001	385.929999999998	5.76599999999999	203.813	7.20000000000002	370.085000000001	7.286	336.213	5.726	202.367
5	11.13	260.762	9.575	262.282999999999	7.97300000000001	152.026	6.01600000000001	245.611	6.062	249.709	4.464	128.604	6.131	243.873000000001	6.11199999999999	250.794999999999	4.47900000000001	129.558
4	15.105	394.155000000001	13.282	376.696000000001	11.493	165.084000000001	7.32899999999998	362.261	7.624	383.787	5.73699999999999	146.186	7.36100000000002	383.858	7.655	373.864	5.346	140.479000000001
6	11.566	374.491999999999	9.96100000000001	390.492	8.69	276.744000000001	6.08199999999999	269.468000000001	6.12599999999999	338.307000000001	4.483	258.179	6.10599999999999	359.309000000001	6.16200000000001	256.266	4.66400000000002	263.450999999999
7	12.854	237.823	11.277	241.78	9.587	135.114	6.672	218.489	6.60899999999999	224.997	5.16	119.454	6.626	229.014999999999	6.55600000000001	230.161	4.96600000000001	121.083000000001
9	12.826	234.993	11.282	229.016000000001	9.57900000000001	134.187	6.786	210.422	6.70799999999998	210.75	5.21700000000001	118.597000000001	6.77599999999998	207.899	6.71899999999999	209.66	4.95000000000002	115.618
10	12.492	255.573	10.348	254.014	8.89099999999999	148.68	6.223	232.731	6.27499999999999	229.65	4.82400000000001	125.73	6.26300000000001	232.486	6.18099999999998	243.268	4.73999999999998	134.849
11	12.853	256.764999999999	10.713	259.051	9.026	147.504	6.342	240.274	6.39099999999999	237.416	4.75899999999999	116.045	6.376	237.903	6.29300000000001	231.55	4.75199999999998	118.434
8	12.91	558.231	11.358	761.427	9.621	360.690000000001	6.81400000000001	549.289999999999	6.70199999999998	527.261	5.24199999999999	225.791000000001	6.75999999999999	483.313	6.72499999999999	373.003000000001	5.00400000000002	274.906999999999
12	12.821	257.189	10.753	258.974999999999	9.465	151.804	6.55600000000001	241.885	6.60300000000001	251.317	4.97800000000001	126.278	6.50200000000001	248.024	6.44300000000001	247.162	4.81300000000002	137.807000000001
15	11.623	315.066	9.956	321.385	8.34899999999999	170.289	6.309	291.444	6.318	287.439	4.726	149.508000000001	6.298	297.096	6.29700000000003	301.762	4.72	149.038
13	12.871	480.385000000001	10.763	383.246999999999	9.527	355.819	6.568	494.888999999999	6.60900000000001	432.029999999999	5.09700000000001	227.948	6.50399999999999	496.275	6.45500000000001	511.835999999999	4.917	344.698
14	11.803	551.311	10.142	685.333999999999	8.509	345.74	6.7	372.547999999999	6.711	384	4.95699999999999	225.878000000001	6.733	374.063	6.71699999999998	349.223000000002	4.95699999999999	225.623
16	11.563	239.404	10.21	231.573	8.495	166.465	6.31700000000001	215.651	6.30600000000001	214.423000000001	4.541	144.463	6.16800000000001	220.242	6.232	214.033	4.67699999999999	152.363
17	11.454	247.682	10.095	244.169000000001	8.506	175.169000000001	6.176	239.005999999999	6.126	240.254	4.611	146.463	6.039	252.983999999999	6.00399999999999	244.291	4.768	163.23
18	12.569	333.754	10.846	330.491	9.456	195.537	6.54900000000001	289.714000000001	6.36699999999999	289.468	4.84899999999999	163.714999999999	6.37100000000001	300.451999999999	6.27000000000001	280.138	4.78700000000001	152.353
19	13.517	248.32	11.444	249.37	9.82599999999999	173.049999999999	6.68500000000002	224.87	6.61000000000001	228.163	4.863	152.921	6.447	223.005	6.66399999999999	225.219	4.95699999999999	150.666
20	13.348	332.495	11.364	314.192	9.937	167.515	6.67	314.669	6.54899999999998	278.558	4.923	168.361	6.44200000000001	319.791999999999	6.60799999999998	286.705	5.024	174.111
21	13.881	230.315000000001	11.849	234.641	10.061	151.782999999999	6.96200000000002	224.642	6.99499999999998	222.206	4.95699999999999	129.734	6.78300000000002	222.891000000001	6.89699999999999	217.262	4.89500000000001	125.307
22	13.731	430.754000000001	11.709	468.893	10.12	305.379999999999	6.789	382.773999999999	6.78999999999999	437.639999999999	4.983	245.651	6.58300000000003	387.705000000002	6.67400000000001	344.877	5.01499999999999	245.702000000001
24	12.388	283.235	10.365	291.253	8.651	177.985000000001	6.45700000000001	255.385	6.467	258.692	4.78	159.319	6.446	277.025	6.43799999999999	268.579	4.774	145.017999999998
23	11.8	328.407999999999	10.199	343.229	8.492	235.277999999999	6.551	276.551	6.44799999999999	318.778	4.691	189.860999999999	6.417	335.103999999999	6.41900000000001	294.726999999999	4.67399999999998	221.633
25	11.518	227.698	9.883	235.169	8.123	144.103	6.29300000000001	215.378000000001	6.291	215.286	4.58799999999999	123.418	6.29000000000001	215.88	6.30699999999999	216.249	4.58700000000002	117.694
27	13.544	318.956999999999	11.939	326.274	9.84399999999999	169.793	7.63800000000001	293.02	7.53999999999999	296.722	5.27699999999999	144.134	7.34299999999999	294.125	7.167	295.608	4.97399999999999	144.956999999999
42	14.103	242.14	12.458	245.475	10.742	142.792	7.21000000000001	221.072	7.31999999999999	232.476	5.72	129.98	7.08800000000002	227.895	7.06900000000002	226.835	5.685	128.633999999999
43	14.088	232.668	12.669	219.746	10.673	123.341	7.40600000000001	205.819	7.57399999999998	215.428	5.60599999999999	112.822	7.28199999999998	283.594	7.245	204.65	5.62799999999999	106.641000000001
47	13.293	241.025	11.884	241.009	9.32799999999999	145.747	6.72799999999999	222.572999999999	6.804	222.735	5.05399999999997	126.913	6.65200000000002	224.012	6.56399999999999	221.018	4.73500000000001	134.090999999999
52	12.718	233.579	11.031	232.905	9.41199999999999	163.651	6.616	212.985	6.62999999999998	210.451	5.02199999999999	132.339	6.56	205.487	6.63900000000001	206.559	4.874	136.018
49	12.547	287.912	10.422	287.956	8.919	156.017000000001	6.43000000000001	277.072	6.414	269.667	4.758	137.974	6.42399999999998	277.408	6.381	280.919	4.72	151.925
53	11.627	233.031	9.98699999999999	240.173	8.49000000000001	142.106	6.366	209.203	6.33699999999999	205.858999999999	4.87200000000001	112.669	6.36099999999999	205.287	6.333	209.946	4.86700000000002	116.646000000001
32	11.553	268.865	10.005	268.393	8.191	179.429999999999	6.262	247.339	6.26899999999999	249.58	4.36399999999999	159.13	6.15799999999999	247.983999999999	6.179	249.327	4.392	154.726
48	13.175	243.026	11.694	249.636	9.28	155.334	6.55799999999999	222.652	6.625	232.829	5.06	134.967000000001	6.49799999999999	228.223	6.39999999999998	246.133	4.767	135.826
37	11.923	240.504	10.549	240.079000000001	8.985	143.993	6.32199999999999	208.765	6.316	202.961	4.863	115.922	6.29000000000002	211.571	6.22999999999999	226.869	4.864	127.04
40	12.266	256.03	10.609	260.362	8.71899999999999	164.67	6.84	254.087	6.82199999999999	299.451999999999	4.96599999999998	119.554	6.80799999999999	229.373	6.80099999999999	253.541	4.971	138.604
50	12.286	252.27	10.281	252.097	9.10899999999999	149.335	6.188	232.893	6.161	235.491	4.82699999999998	131.431	6.202	235.839	6.155	234.778	4.80699999999999	126.115
51	12.721	266.206	10.954	266.388	9.34100000000001	149.336	6.57600000000001	251.723	6.59000000000002	254.269	4.94499999999999	132.629	6.52300000000002	252.236000000001	6.60599999999999	257.916	4.80100000000002	125.878
