"run_ID"	"omni_ns_pvalue"	"omni_ns_stdpvalue"	"omni_is_pvalue"	"omni_is_stdpvalue"	"omni_ls_pvalue"	"omni_ls_stdpvalue"	"link_ns_pvalue"	"link_ns_stdpvalue"	"link_is_pvalue"	"link_is_stdpvalue"	"link_ls_pvalue"	"link_ls_stdpvalue"	"form_ns_pvalue"	"form_ns_stdpvalue"	"form_is_pvalue"	"form_is_stdpvalue"	"form_ls_pvalue"	"form_ls_stdpvalue"
6	0.034	0	0.034	0	0.018	0	0.02	0	0.02	0	0.032	0	0.018	0	0.018	0	0.004	0
7	0.046	0	0.046	0	0.026	0	0.032	0	0.032	0	0.012	0	0.036	0.002	0.036	0.002	0.016	0
5	0.148	0.006	0.148	0.006	0.132	0.006	0.112	0.004	0.112	0.004	0.08	0.006	0.016	0.002	0.016	0.002	0.012	0
9	0.086	0.008	0.086	0.008	0.07	0.004	0.084	0.004	0.084	0.004	0.072	0.004	0.056	0.002	0.056	0.002	0.054	0
12	0.132	0.014	0.132	0.014	0.122	0.002	0.074	0.004	0.074	0.004	0.052	0	0.09	0	0.09	0	0.072	0.002
19	0.206	0.012	0.206	0.012	0.106	0	0.166	0.002	0.166	0.002	0.134	0	0.068	0	0.068	0	0.054	0
11	0.054	0.002	0.054	0.002	0.028	0.006	0.036	0.002	0.036	0.002	0.018	0.008	0.038	0	0.038	0	0.018	0.006
10	0.066	0.004	0.066	0.004	0.048	0	0.054	0.002	0.054	0.002	0.05	0.002	0.006	0	0.006	0	0.006	0
24	0.024	0	0.024	0	0.02	0	0.016	0	0.016	0	0.012	0	0.02	0	0.02	0	0.012	0
1	0.014	0	0.014	0	0.046	0.016	0.016	0	0.016	0	0.046	0.01	0.018	0	0.018	0	0.03	0
23	0.002	0	0.002	0	0	0	0.004	0	0.004	0	0	0	0.006	0	0.006	0	0	0
45	0.052	0	0.052	0	0.06	0	0.022	0	0.022	0	0.022	0	0.004	0	0.004	0	0.004	0
59	0.112	0	0.112	0	0.068	0	0.07	0	0.07	0	0.054	0	0.014	0	0.014	0	0.034	0
46	0.008	0	0.008	0	0.002	0	0.004	0	0.004	0	0.002	0	0.004	0	0.004	0	0.002	0
57	0.018	0	0.018	0	0.014	0	0.02	0	0.02	0	0.008	0	0.008	0	0.008	0	0.008	0
60	0.044	0.006	0.044	0.006	0.026	0.006	0.044	0.002	0.044	0.002	0.018	0.008	0.05	0.004	0.05	0.004	0.022	0.004
44	0.024	0	0.024	0	0.06	0	0.022	0.002	0.022	0.002	0.044	0	0.004	0	0.004	0	0.008	0
64	0.208	0.018	0.208	0.018	0.17	0.022	0.126	0.004	0.126	0.004	0.096	0.006	0.052	0.002	0.052	0.002	0.076	0.002
43	0.044	0.014	0.044	0.014	0.006	0.002	0.022	0.006	0.022	0.006	0.004	0	0.022	0.004	0.022	0.004	0.006	0
67	0.104	0.002	0.104	0.002	0.124	0.002	0.052	0.002	0.052	0.002	0.074	0	0.024	0	0.024	0	0.028	0
51	0.018	0	0.018	0	0.008	0	0.008	0	0.008	0	0.004	0	0.01	0	0.01	0	0.004	0
41	0.022	0.004	0.022	0.004	0.006	0.01	0.012	0	0.012	0	0.004	0.004	0	0	0	0	0	0
42	0.024	0	0.024	0	0.016	0.002	0.032	0	0.032	0	0.04	0.004	0.018	0	0.018	0	0.016	0
52	0.07	0.002	0.07	0.002	0.094	0.006	0.038	0.002	0.038	0.002	0.05	0.002	0.008	0	0.008	0	0.008	0
61	0.1	0.014	0.1	0.014	0.044	0.006	0.05	0	0.05	0	0.026	0.006	0.02	0	0.02	0	0.028	0.008
47	0.084	0.006	0.084	0.006	0.134	0.006	0.048	0.002	0.048	0.002	0.072	0.002	0.004	0.002	0.004	0.002	0.01	0.002
62	0.078	0.002	0.078	0.002	0.026	0.006	0.058	0	0.058	0	0.014	0	0.058	0	0.058	0	0.014	0
66	0.108	0.004	0.108	0.004	0.078	0	0.094	0.004	0.094	0.004	0.088	0	0.028	0.004	0.028	0.004	0.038	0
65	0.034	0.002	0.034	0.002	0.032	0.002	0.05	0	0.05	0	0.048	0.004	0.012	0	0.012	0	0.014	0.002
63	0.064	0	0.064	0	0.032	0	0.054	0.002	0.054	0.002	0.028	0	0.064	0	0.064	0	0.038	0
40	0.012	0	0.012	0	0.01	0	0.01	0	0.01	0	0.004	0	0.01	0	0.01	0	0.004	0
48	0.018	0	0.018	0	0.016	0	0.008	0	0.008	0	0.016	0	0.002	0	0.002	0	0.012	0
49	0.29	0.03	0.29	0.03	0.164	0.012	0.188	0.006	0.188	0.006	0.096	0.006	0.062	0.002	0.062	0.002	0.088	0.006
50	0.28	0.018	0.28	0.018	0.278	0.01	0.16	0.018	0.16	0.018	0.15	0.018	0.144	0.004	0.144	0.004	0.062	0.01
58	0.042	0.01	0.042	0.01	0.02	0.018	0.056	0.004	0.056	0.004	0.028	0.01	0	0	0	0	0	0
55	0.002	0	0.002	0	0.004	0	0.002	0	0.002	0	0	0	0.002	0	0.002	0	0	0
56	0.138	0	0.138	0	0.054	0	0.068	0.002	0.068	0.002	0.048	0	0.002	0	0.002	0	0.002	0
68	0.008	0	0.008	0	0.002	0	0.004	0	0.004	0	0	0	0.006	0	0.006	0	0.002	0
77	0.15	0.002	0.15	0.002	0.118	0	0.08	0	0.08	0	0.072	0	0.094	0	0.094	0	0.078	0
53	0.046	0	0.046	0	0.016	0	0.024	0	0.024	0	0.01	0	0.026	0	0.026	0	0.012	0
76	0.016	0	0.016	0	0.034	0	0.014	0	0.014	0	0.02	0	0.008	0	0.008	0	0.016	0
73	0.022	0	0.022	0	0.012	0	0.008	0	0.008	0	0.006	0	0.012	0	0.012	0	0.006	0
72	0.002	0	0.002	0	0	0	0.002	0	0.002	0	0	0	0.002	0	0.002	0	0	0
78	0.076	0.004	0.076	0.004	0.1	0.014	0.032	0.004	0.032	0.004	0.05	0.02	0.01	0.002	0.01	0.002	0.008	0
75	0.012	0	0.012	0	0	0	0.006	0	0.006	0	0	0	0.01	0	0.01	0	0.002	0
74	0.164	0.004	0.164	0.004	0.078	0	0.148	0.014	0.148	0.014	0.076	0.004	0.13	0.002	0.13	0.002	0.078	0.002
71	0.118	0.004	0.118	0.004	0.106	0.004	0.072	0.002	0.072	0.002	0.078	0	0.028	0	0.028	0	0.024	0
70	0.03	0	0.03	0	0.034	0.002	0.022	0.012	0.022	0.012	0.026	0.014	0.002	0	0.002	0	0.002	0
54	0.006	0	0.006	0	0.022	0	0.004	0	0.004	0	0.014	0	0.008	0	0.008	0	0.016	0
69	0.008	0	0.008	0	0.004	0	0.008	0	0.008	0	0.002	0	0.004	0	0.004	0	0.002	0
86	0.03	0.002	0.03	0.002	0.006	0	0.018	0	0.018	0	0.004	0	0.02	0	0.02	0	0.006	0
85	0.044	0.016	0.044	0.016	0.034	0.01	0.02	0.01	0.02	0.01	0.014	0.012	0.02	0.012	0.02	0.012	0.018	0.008
95	0.02	0	0.02	0	0.01	0	0.016	0	0.016	0	0	0	0.018	0	0.018	0	0	0
84	0.008	0	0.008	0	0.01	0	0.002	0	0.002	0	0.01	0	0.002	0	0.002	0	0.01	0
91	0.014	0.006	0.014	0.006	0.024	0.012	0.012	0.002	0.012	0.002	0.024	0.006	0.012	0	0.012	0	0.022	0.004
83	0.046	0	0.046	0	0.026	0	0.03	0	0.03	0	0.014	0	0.03	0	0.03	0	0.018	0
92	0.032	0	0.032	0	0.008	0	0.024	0.002	0.024	0.002	0.004	0	0.018	0	0.018	0	0.006	0
81	0.07	0	0.07	0	0.12	0.002	0.042	0.002	0.042	0.002	0.058	0.002	0.008	0	0.008	0	0.004	0
87	0.046	0.004	0.046	0.004	0.036	0.002	0.022	0	0.022	0	0.018	0.002	0.028	0	0.028	0	0.024	0.002
82	0.022	0	0.022	0	0.008	0	0.012	0	0.012	0	0.002	0	0.016	0.002	0.016	0.002	0.002	0
80	0.028	0	0.028	0	0.028	0	0.016	0	0.016	0	0.028	0	0.012	0	0.012	0	0.018	0
79	0.082	0.002	0.082	0.002	0.058	0	0.038	0	0.038	0	0.024	0	0.042	0	0.042	0	0.026	0
89	0.004	0	0.004	0	0	0	0.002	0	0.002	0	0	0	0.002	0	0.002	0	0	0
88	0.034	0.002	0.034	0.002	0.056	0.006	0.012	0.002	0.012	0.002	0.028	0.002	0.012	0.002	0.012	0.002	0.028	0
90	0.042	0.002	0.042	0.002	0.066	0.008	0.038	0	0.038	0	0.07	0.004	0.026	0	0.026	0	0.008	0
93	0.038	0	0.038	0	0.026	0	0.022	0	0.022	0	0.02	0	0.022	0	0.022	0	0.018	0
94	0.046	0	0.046	0	0.004	0	0.04	0.006	0.04	0.006	0.006	0.002	0.022	0	0.022	0	0.006	0
96	0.116	0	0.116	0	0.124	0	0.058	0	0.058	0	0.062	0	0.072	0	0.072	0	0.072	0
105	0.046	0.01	0.046	0.01	0.028	0.002	0.064	0.002	0.064	0.002	0.03	0	0.012	0	0.012	0	0.01	0
98	0.03	0	0.03	0	0.05	0	0.012	0.002	0.012	0.002	0.034	0	0.016	0	0.016	0	0.028	0
97	0.254	0.014	0.254	0.014	0.252	0.026	0.156	0.008	0.156	0.008	0.23	0.006	0.18	0.018	0.18	0.018	0.136	0.002
99	0.064	0.004	0.064	0.004	0.062	0	0.054	0.006	0.054	0.006	0.046	0	0.01	0.002	0.01	0.002	0.012	0
103	0.032	0	0.032	0	0.01	0	0.018	0	0.018	0	0.006	0	0.02	0	0.02	0	0.008	0
102	0.07	0	0.07	0	0.07	0	0.028	0	0.028	0	0.034	0	0.022	0	0.022	0	0.038	0
104	0.226	0.002	0.226	0.002	0.066	0.02	0.13	0	0.13	0	0.038	0.01	0.14	0	0.14	0	0.034	0.002
100	0.046	0	0.046	0	0.078	0.006	0.022	0	0.022	0	0.046	0	0.018	0	0.018	0	0.016	0
101	0.036	0.002	0.036	0.002	0.012	0	0.04	0.002	0.04	0.002	0.014	0	0.042	0.002	0.042	0.002	0.016	0
106	0.066	0.01	0.066	0.01	0.178	0.07	0.08	0.014	0.08	0.014	0.16	0.07	0.06	0.01	0.06	0.01	0.008	0
108	0.02	0.008	0.02	0.008	0.012	0.004	0.012	0.006	0.012	0.006	0.006	0.002	0.01	0	0.01	0	0.006	0
107	0.038	0	0.038	0	0.042	0	0.018	0	0.018	0	0.02	0	0.024	0	0.024	0	0.02	0
115	0.052	0.002	0.052	0.002	0.072	0.002	0.036	0.002	0.036	0.002	0.044	0	0.014	0	0.014	0	0.01	0
111	0.068	0	0.068	0	0.082	0.002	0.07	0	0.07	0	0.052	0.002	0.008	0	0.008	0	0.002	0.002
112	0.054	0	0.054	0	0.032	0.002	0.044	0	0.044	0	0.078	0	0.004	0	0.004	0	0.004	0
116	0.046	0	0.046	0	0.016	0	0.044	0	0.044	0	0.014	0	0.05	0	0.05	0	0.02	0
110	0.126	0.004	0.126	0.004	0.124	0.006	0.046	0.002	0.046	0.002	0.09	0.002	0.028	0	0.028	0	0.016	0
109	0.058	0	0.058	0	0.09	0	0.042	0.008	0.042	0.008	0.094	0.006	0.022	0.002	0.022	0.002	0.016	0.004
117	0.018	0	0.018	0	0.002	0	0.008	0	0.008	0	0.002	0	0.016	0	0.016	0	0.002	0
114	0.012	0	0.012	0	0.006	0	0.01	0	0.01	0	0.002	0	0.014	0	0.014	0	0.004	0
