"run_ID"	"omni_ns_linT"	"omni_ns_linF"	"omni_is_linT"	"omni_is_linF"	"omni_ls_linT"	"omni_ls_linF"	"link_ns_linT"	"link_ns_linF"	"link_is_linT"	"link_is_linF"	"link_ls_linT"	"link_ls_linF"	"form_ns_linT"	"form_ns_linF"	"form_is_linT"	"form_is_linF"	"form_ls_linT"	"form_ls_linF"
356	12.254	380.654	10.294	385.915	8.409	189.301	6.101	368.166	6.2	378.455	4.442	162.082	6.247	374.777	6.21999999999999	383.872	4.414	187.349
371	12.33	361.01	10.876	375.504	9.077	168.059	6.985	353.004	7.006	347.779	5.165	144.627	7.016	346.448	6.96899999999999	357.199	5.102	147.465
362	13.254	367.614	11.279	370.452	9.495	207.012	6.53	354.051	6.552	354.976	4.864	176.175	6.702	362.947	6.82299999999999	357.655	4.837	175.612
335	14.057	388.471	12.425	393.415	10.693	270.765	7.564	499.851	7.488	510.616	5.541	297.941	7.42399999999999	507.007	7.40100000000001	530.083	5.47200000000001	276.647
385	12.842	306.942	11.215	301.782	9.27	179.084	6.772	281.774	6.82400000000001	282.475	4.911	158.573	6.79199999999999	287.819	6.828	291.236	4.91099999999999	156.348
360	12.843	385.622	10.848	380.344	9.226	195.572	6.446	362.443	6.48200000000001	367.584	4.805	176.181	6.47599999999999	376.441	6.45100000000001	374.793999999999	4.75399999999999	157.944
373	13.343	393.776	11.854	388.805	9.736	176.172	7.406	366.438	7.474	367.042	5.466	153.603	7.392	366.209	7.456	370.946	5.28699999999999	152.938
374	13.433	420.838	11.962	430.64	9.96	175.548	7.378	414.046	7.44900000000001	413.188	5.501	150.38	7.38300000000001	407.975	7.425	406.986	5.396	150.678
384	13.09	341.449	11.441	342.44	9.429	175.332	7.232	321.414	7.022	323.633	5.003	166.661	7.201	323.983	7.05	324.307	5.002	148.862000000001
379	12.948	338.227	11.617	340.893	9.648	172.447	7.395	319.809	7.41	321.497	5.471	175.943	7.495	317.157	7.51899999999999	338.491	5.367	183.36
