"run_ID"	"omni_ns_pvalue"	"omni_ns_stdpvalue"	"omni_is_pvalue"	"omni_is_stdpvalue"	"omni_ls_pvalue"	"omni_ls_stdpvalue"	"link_ns_pvalue"	"link_ns_stdpvalue"	"link_is_pvalue"	"link_is_stdpvalue"	"link_ls_pvalue"	"link_ls_stdpvalue"	"form_ns_pvalue"	"form_ns_stdpvalue"	"form_is_pvalue"	"form_is_stdpvalue"	"form_ls_pvalue"	"form_ls_stdpvalue"
1	0.524	0.212	0.524	0.212	0.556	0.272	0.434	0.092	0.434	0.092	0.432	0.126	0.488	0.08	0.488	0.08	0.47	0.114
23	0.23	0.274	0.23	0.274	0.156	0.226	0.224	0.224	0.224	0.224	0.158	0.122	0.248	0.186	0.248	0.186	0.178	0.098
45	0.182	0.062	0.182	0.062	0.166	0.088	0.204	0.024	0.204	0.024	0.188	0.044	0.136	0.016	0.136	0.016	0.124	0.042
46	0.476	0.098	0.476	0.098	0.478	0.132	0.33	0.048	0.33	0.048	0.308	0.068	0.186	0.036	0.186	0.036	0.174	0.066
59	0.63	0.474	0.63	0.474	0.578	0.38	0.516	0.424	0.516	0.424	0.384	0.404	0.512	0.388	0.512	0.388	0.488	0.338
57	0.23	0.238	0.23	0.238	0.35	0.212	0.132	0.302	0.132	0.302	0.244	0.344	0.324	0.134	0.324	0.134	0.296	0.132
64	0.118	0.06	0.118	0.06	0.086	0.056	0.1	0.028	0.1	0.028	0.07	0.038	0.162	0.022	0.162	0.022	0.122	0.036
60	0.116	0.022	0.116	0.022	0.1	0.042	0.056	0.008	0.056	0.008	0.066	0.028	0.072	0.012	0.072	0.012	0.072	0.012
44	0.368	0.57	0.368	0.57	0.306	0.46	0.296	0.294	0.296	0.294	0.202	0.314	0.328	0.26	0.328	0.26	0.218	0.294
67	0.652	0.202	0.652	0.202	0.644	0.21	0.442	0.088	0.442	0.088	0.422	0.09	0.5	0.072	0.5	0.072	0.494	0.078
43	0.514	0.262	0.514	0.262	0.514	0.192	0.336	0.262	0.336	0.262	0.48	0.326	0.194	0.046	0.194	0.046	0.25	0.058
51	0.152	0.048	0.152	0.048	0.114	0.036	0.068	0.022	0.068	0.022	0.056	0.022	0.106	0.02	0.106	0.02	0.102	0.014
41	0.146	0.176	0.146	0.176	0.144	0.122	0.074	0.144	0.074	0.144	0.082	0.128	0.38	0.134	0.38	0.134	0.314	0.136
42	0.566	0.268	0.566	0.268	0.762	0.246	0.396	0.126	0.396	0.126	0.526	0.122	0.242	0.134	0.242	0.134	0.122	0.1
52	0.876	0.402	0.876	0.402	0.742	0.508	0.632	0.158	0.632	0.158	0.51	0.254	0.358	0.178	0.358	0.178	0.252	0.148
61	0.636	0.202	0.636	0.202	0.654	0.248	0.422	0.08	0.422	0.08	0.448	0.1	0.472	0.076	0.472	0.076	0.464	0.088
47	0.72	0.542	0.72	0.542	0.492	0.322	0.712	0.2	0.712	0.2	0.422	0.134	0.696	0.24	0.696	0.24	0.468	0.122
62	0.578	0.414	0.578	0.414	0.606	0.298	0.352	0.286	0.352	0.286	0.374	0.266	0.374	0.17	0.374	0.17	0.386	0.2
66	0.474	0.27	0.474	0.27	0.452	0.304	0.418	0.468	0.418	0.468	0.402	0.494	0.184	0.124	0.184	0.124	0.206	0.194
65	0.5	0.32	0.5	0.32	0.574	0.378	0.286	0.186	0.286	0.186	0.358	0.182	0.154	0.042	0.154	0.042	0.116	0.02
63	0.192	0.102	0.192	0.102	0.188	0.07	0.1	0.054	0.1	0.054	0.096	0.034	0.104	0.048	0.104	0.048	0.104	0.032
40	0.644	0.428	0.644	0.428	0.754	0.3	0.456	0.19	0.456	0.19	0.55	0.126	0.27	0.142	0.27	0.142	0.296	0.134
48	0.518	0.274	0.518	0.274	0.346	0.14	0.348	0.142	0.348	0.142	0.28	0.084	0.33	0.09	0.33	0.09	0.31	0.09
49	0.4	0.328	0.4	0.328	0.378	0.35	0.502	0.136	0.502	0.136	0.458	0.14	0.512	0.124	0.512	0.124	0.486	0.128
58	0.108	0.082	0.108	0.082	0.054	0.04	0.044	0.042	0.044	0.042	0.018	0.026	0.044	0.018	0.044	0.018	0.018	0.016
50	0.454	0.14	0.454	0.14	0.394	0.174	0.27	0.064	0.27	0.064	0.228	0.092	0.294	0.038	0.294	0.038	0.238	0.064
55	0.538	0.358	0.538	0.358	0.724	0.298	0.342	0.154	0.342	0.154	0.506	0.114	0.392	0.176	0.392	0.176	0.55	0.126
56	0.496	0.516	0.496	0.516	0.444	0.394	0.282	0.276	0.282	0.276	0.272	0.198	0.238	0.128	0.238	0.128	0.214	0.1
68	0.56	0.186	0.56	0.186	0.528	0.128	0.372	0.072	0.372	0.072	0.34	0.058	0.216	0.044	0.216	0.044	0.198	0.036
53	0.586	0.13	0.586	0.13	0.464	0.126	0.378	0.062	0.378	0.062	0.304	0.05	0.412	0.066	0.412	0.066	0.348	0.044
