"run_ID"	"omni_ns_pvalue"	"omni_ns_stdpvalue"	"omni_is_pvalue"	"omni_is_stdpvalue"	"omni_ls_pvalue"	"omni_ls_stdpvalue"	"link_ns_pvalue"	"link_ns_stdpvalue"	"link_is_pvalue"	"link_is_stdpvalue"	"link_ls_pvalue"	"link_ls_stdpvalue"	"form_ns_pvalue"	"form_ns_stdpvalue"	"form_is_pvalue"	"form_is_stdpvalue"	"form_ls_pvalue"	"form_ls_stdpvalue"
24	0.266	0.428	0.266	0.428	0.23	0.434	0.326	0.472	0.326	0.472	0.262	0.442	0.358	0.44	0.358	0.44	0.274	0.408
1	0.466	0.238	0.466	0.238	0.456	0.322	0.458	0.128	0.458	0.128	0.438	0.18	0.528	0.12	0.528	0.12	0.494	0.174
23	0.47	0.392	0.47	0.392	0.462	0.348	0.464	0.27	0.464	0.27	0.468	0.276	0.404	0.11	0.404	0.11	0.402	0.164
59	0.476	0.368	0.476	0.368	0.386	0.362	0.676	0.402	0.676	0.402	0.654	0.504	0.72	0.582	0.72	0.582	0.694	0.612
46	0.304	0.09	0.304	0.09	0.338	0.082	0.184	0.046	0.184	0.046	0.202	0.046	0.242	0.026	0.242	0.026	0.252	0.042
45	0.496	0.62	0.496	0.62	0.494	0.678	0.604	0.656	0.604	0.656	0.594	0.682	0.65	0.594	0.65	0.594	0.65	0.686
60	0.75	0.932	0.75	0.932	0.744	0.938	0.608	0.724	0.608	0.724	0.586	0.64	0.662	0.714	0.662	0.714	0.636	0.65
64	0.338	0.07	0.338	0.07	0.368	0.074	0.194	0.024	0.194	0.024	0.224	0.038	0.232	0.028	0.232	0.028	0.282	0.034
57	0.182	0.108	0.182	0.108	0.128	0.064	0.1	0.046	0.1	0.046	0.048	0.016	0.132	0.04	0.132	0.04	0.074	0.014
67	0.574	0.816	0.574	0.816	0.498	0.68	0.68	0.84	0.68	0.84	0.568	0.752	0.712	0.822	0.712	0.822	0.63	0.812
44	0.762	0.552	0.762	0.552	0.606	0.402	0.596	0.264	0.596	0.264	0.512	0.176	0.682	0.528	0.682	0.528	0.586	0.54
52	0.376	0.126	0.376	0.126	0.436	0.114	0.236	0.066	0.236	0.066	0.278	0.048	0.274	0.046	0.274	0.046	0.326	0.034
51	0.844	0.326	0.844	0.326	0.728	0.374	0.626	0.152	0.626	0.152	0.608	0.156	0.508	0.164	0.508	0.164	0.36	0.16
43	0.896	0.58	0.896	0.58	0.944	0.648	0.76	0.524	0.76	0.524	0.836	0.572	0.82	0.758	0.82	0.758	0.922	0.752
61	0.816	0.626	0.816	0.626	0.558	0.594	0.808	0.492	0.808	0.492	0.636	0.508	0.828	0.656	0.828	0.656	0.682	0.636
47	0.796	0.79	0.796	0.79	0.79	0.79	0.734	0.874	0.734	0.874	0.78	0.88	0.79	0.614	0.79	0.614	0.842	0.656
41	0.808	0.538	0.808	0.538	0.852	0.53	0.806	0.734	0.806	0.734	0.824	0.74	0.864	0.52	0.864	0.52	0.866	0.486
65	0.372	0.358	0.372	0.358	0.384	0.414	0.48	0.802	0.48	0.802	0.462	0.82	0.514	0.852	0.514	0.852	0.498	0.826
66	0.532	0.534	0.532	0.534	0.584	0.614	0.522	0.624	0.522	0.624	0.566	0.632	0.658	0.484	0.658	0.484	0.504	0.448
42	0.862	0.808	0.862	0.808	0.908	0.848	0.902	0.898	0.902	0.898	0.94	0.862	0.536	0.24	0.536	0.24	0.538	0.248
58	0.266	0.526	0.266	0.526	0.23	0.502	0.196	0.362	0.196	0.362	0.178	0.354	0.22	0.256	0.22	0.256	0.19	0.23
62	0.734	0.6	0.734	0.6	0.552	0.48	0.466	0.272	0.466	0.272	0.364	0.214	0.52	0.26	0.52	0.26	0.396	0.18
63	0.68	0.402	0.68	0.402	0.628	0.252	0.504	0.186	0.504	0.186	0.438	0.19	0.514	0.16	0.514	0.16	0.472	0.164
40	0.512	0.69	0.512	0.69	0.276	0.37	0.97	0.738	0.97	0.738	0.788	0.798	0.972	0.868	0.972	0.868	0.8	0.866
48	0.454	0.346	0.454	0.346	0.216	0.34	0.474	0.266	0.474	0.266	0.484	0.242	0.34	0.114	0.34	0.114	0.248	0.088
49	0.664	0.864	0.664	0.864	0.526	0.682	0.756	0.684	0.756	0.684	0.628	0.574	0.802	0.626	0.802	0.626	0.696	0.604
50	0.754	0.832	0.754	0.832	0.506	0.73	0.822	0.41	0.822	0.41	0.606	0.48	0.724	0.314	0.724	0.314	0.646	0.286
55	0.692	0.638	0.692	0.638	0.704	0.656	0.482	0.346	0.482	0.346	0.482	0.296	0.25	0.206	0.25	0.206	0.268	0.252
56	0.34	0.146	0.34	0.146	0.336	0.102	0.228	0.066	0.228	0.066	0.208	0.058	0.25	0.038	0.25	0.038	0.242	0.044
68	0.39	0.26	0.39	0.26	0.502	0.376	0.214	0.07	0.214	0.07	0.286	0.124	0.268	0.076	0.268	0.076	0.354	0.126
53	0.32	0.348	0.32	0.348	0.232	0.234	0.19	0.136	0.19	0.136	0.138	0.094	0.196	0.146	0.196	0.146	0.146	0.08
54	0.712	0.746	0.712	0.746	0.54	0.766	0.842	0.426	0.842	0.426	0.874	0.366	0.714	0.688	0.714	0.688	0.58	0.604
77	0.528	0.534	0.528	0.534	0.578	0.594	0.33	0.16	0.33	0.16	0.366	0.18	0.352	0.262	0.352	0.262	0.41	0.372
76	0.33	0.152	0.33	0.152	0.332	0.194	0.192	0.078	0.192	0.078	0.184	0.09	0.218	0.044	0.218	0.044	0.21	0.05
72	0.76	0.378	0.76	0.378	0.53	0.362	0.698	0.344	0.698	0.344	0.356	0.15	0.78	0.37	0.78	0.37	0.424	0.322
78	0.756	0.238	0.756	0.238	0.83	0.34	0.516	0.124	0.516	0.124	0.56	0.142	0.566	0.108	0.566	0.108	0.584	0.146
70	0.794	0.39	0.794	0.39	0.592	0.504	0.562	0.392	0.562	0.392	0.376	0.22	0.622	0.408	0.622	0.408	0.43	0.224
73	0.834	0.528	0.834	0.528	0.726	0.456	0.564	0.338	0.564	0.338	0.486	0.186	0.61	0.336	0.61	0.336	0.47	0.198
71	0.626	0.716	0.626	0.716	0.734	0.676	0.368	0.65	0.368	0.65	0.418	0.634	0.36	0.584	0.36	0.584	0.41	0.548
74	0.654	0.782	0.654	0.782	0.72	0.764	0.93	0.412	0.93	0.412	0.89	0.552	0.776	0.834	0.776	0.834	0.844	0.888
75	0.588	0.796	0.588	0.796	0.34	0.69	0.412	0.354	0.412	0.354	0.196	0.274	0.498	0.41	0.498	0.41	0.26	0.32
69	0.886	0.78	0.886	0.78	0.876	0.688	0.646	0.28	0.646	0.28	0.69	0.274	0.636	0.474	0.636	0.474	0.67	0.44
86	0.734	0.65	0.734	0.65	0.714	0.672	0.516	0.584	0.516	0.584	0.472	0.596	0.562	0.608	0.562	0.608	0.51	0.468
95	0.546	0.64	0.546	0.64	0.608	0.636	0.276	0.376	0.276	0.376	0.348	0.304	0.418	0.198	0.418	0.198	0.484	0.228
85	0.716	0.686	0.716	0.686	0.52	0.604	0.808	0.94	0.808	0.94	0.596	0.832	0.848	0.874	0.848	0.874	0.668	0.838
91	0.842	0.566	0.842	0.566	0.836	0.666	0.666	0.47	0.666	0.47	0.64	0.44	0.752	0.476	0.752	0.476	0.698	0.416
92	0.476	0.418	0.476	0.418	0.596	0.42	0.554	0.17	0.554	0.17	0.62	0.16	0.472	0.152	0.472	0.152	0.462	0.166
84	0.708	0.206	0.708	0.206	0.676	0.164	0.472	0.106	0.472	0.106	0.46	0.064	0.42	0.076	0.42	0.076	0.362	0.048
83	0.596	0.664	0.596	0.664	0.464	0.708	0.55	0.358	0.55	0.358	0.398	0.45	0.232	0.172	0.232	0.172	0.17	0.056
81	0.724	0.866	0.724	0.866	0.838	0.906	0.484	0.522	0.484	0.522	0.616	0.644	0.588	0.454	0.588	0.454	0.69	0.64
80	0.624	0.932	0.624	0.932	0.712	0.92	0.396	0.59	0.396	0.59	0.466	0.53	0.454	0.57	0.454	0.57	0.53	0.536
87	0.568	0.63	0.568	0.63	0.62	0.53	0.392	0.324	0.392	0.324	0.426	0.27	0.426	0.314	0.426	0.314	0.448	0.246
82	0.596	0.27	0.596	0.27	0.656	0.36	0.408	0.108	0.408	0.108	0.446	0.138	0.472	0.184	0.472	0.184	0.446	0.236
79	0.5	0.236	0.5	0.236	0.428	0.308	0.402	0.098	0.402	0.098	0.32	0.132	0.432	0.098	0.432	0.098	0.364	0.114
89	0.544	0.262	0.544	0.262	0.45	0.142	0.482	0.334	0.482	0.334	0.406	0.202	0.514	0.286	0.514	0.286	0.468	0.19
88	0.212	0.254	0.212	0.254	0.244	0.252	0.13	0.094	0.13	0.094	0.174	0.112	0.132	0.106	0.132	0.106	0.178	0.112
90	0.368	0.768	0.368	0.768	0.212	0.624	0.234	0.482	0.234	0.482	0.126	0.276	0.284	0.468	0.284	0.468	0.156	0.278
93	0.716	0.328	0.716	0.328	0.75	0.332	0.462	0.162	0.462	0.162	0.506	0.152	0.528	0.126	0.528	0.126	0.57	0.116
94	0.836	0.28	0.836	0.28	0.846	0.238	0.6	0.176	0.6	0.176	0.65	0.132	0.732	0.162	0.732	0.162	0.756	0.192
96	0.418	0.086	0.418	0.086	0.478	0.116	0.246	0.028	0.246	0.028	0.314	0.036	0.29	0.024	0.29	0.024	0.344	0.032
97	0.774	0.374	0.774	0.374	0.714	0.404	0.546	0.144	0.546	0.144	0.446	0.168	0.436	0.148	0.436	0.148	0.538	0.178
98	0.726	0.404	0.726	0.404	0.72	0.396	0.502	0.154	0.502	0.154	0.56	0.136	0.566	0.148	0.566	0.148	0.616	0.152
99	0.676	0.216	0.676	0.216	0.638	0.216	0.468	0.088	0.468	0.088	0.462	0.09	0.536	0.076	0.536	0.076	0.556	0.072
105	0.69	0.858	0.69	0.858	0.682	0.832	0.462	0.442	0.462	0.442	0.468	0.464	0.51	0.65	0.51	0.65	0.52	0.656
101	0.772	0.276	0.772	0.276	0.752	0.37	0.67	0.666	0.67	0.666	0.672	0.582	0.764	0.694	0.764	0.694	0.772	0.606
100	0.476	0.322	0.476	0.322	0.332	0.296	0.648	0.348	0.648	0.348	0.516	0.31	0.466	0.138	0.466	0.138	0.53	0.138
102	0.68	0.648	0.68	0.648	0.624	0.65	0.822	0.344	0.822	0.344	0.75	0.448	0.804	0.322	0.804	0.322	0.75	0.348
103	0.638	0.42	0.638	0.42	0.626	0.444	0.514	0.494	0.514	0.494	0.466	0.454	0.536	0.212	0.536	0.212	0.48	0.184
104	0.662	0.488	0.662	0.488	0.734	0.49	0.436	0.442	0.436	0.442	0.512	0.272	0.47	0.176	0.47	0.176	0.538	0.202
106	0.106	0.076	0.106	0.076	0.096	0.062	0.054	0.024	0.054	0.024	0.056	0.022	0.06	0.026	0.06	0.026	0.06	0.018
108	0.278	0.108	0.278	0.108	0.318	0.122	0.216	0.11	0.216	0.11	0.232	0.12	0.244	0.078	0.244	0.078	0.274	0.096
107	0.628	0.66	0.628	0.66	0.604	0.668	0.74	0.628	0.74	0.628	0.686	0.63	0.794	0.628	0.794	0.628	0.736	0.58
115	0.288	0.354	0.288	0.354	0.346	0.488	0.168	0.13	0.168	0.13	0.19	0.17	0.168	0.144	0.168	0.144	0.196	0.162
111	0.732	0.796	0.732	0.796	0.706	0.702	0.5	0.584	0.5	0.584	0.714	0.656	0.394	0.128	0.394	0.128	0.332	0.148
112	0.166	0.182	0.166	0.182	0.124	0.158	0.09	0.088	0.09	0.088	0.08	0.074	0.134	0.028	0.134	0.028	0.088	0.038
116	0.486	0.384	0.486	0.384	0.498	0.3	0.572	0.204	0.572	0.204	0.56	0.196	0.668	0.172	0.668	0.172	0.654	0.176
110	0.616	0.318	0.616	0.318	0.556	0.404	0.346	0.12	0.346	0.12	0.346	0.148	0.146	0.096	0.146	0.096	0.12	0.076
109	0.69	0.404	0.69	0.404	0.692	0.286	0.458	0.148	0.458	0.148	0.43	0.078	0.428	0.164	0.428	0.164	0.426	0.126
