"run_ID"	"omni_ns_pvalue"	"omni_ns_stdpvalue"	"omni_is_pvalue"	"omni_is_stdpvalue"	"omni_ls_pvalue"	"omni_ls_stdpvalue"	"link_ns_pvalue"	"link_ns_stdpvalue"	"link_is_pvalue"	"link_is_stdpvalue"	"link_ls_pvalue"	"link_ls_stdpvalue"	"form_ns_pvalue"	"form_ns_stdpvalue"	"form_is_pvalue"	"form_is_stdpvalue"	"form_ls_pvalue"	"form_ls_stdpvalue"
5	0.43	0.138	0.43	0.138	0.46	0.176	0.3	0.106	0.3	0.106	0.298	0.106	0.338	0.08	0.338	0.08	0.33	0.048
6	0.496	0.306	0.496	0.306	0.552	0.444	0.282	0.086	0.282	0.086	0.322	0.154	0.064	0.002	0.064	0.002	0.086	0
7	0.754	0.604	0.754	0.604	0.77	0.57	0.616	0.238	0.616	0.238	0.608	0.236	0.67	0.234	0.67	0.234	0.666	0.22
9	0.34	0.228	0.34	0.228	0.222	0.178	0.348	0.48	0.348	0.48	0.238	0.42	0.428	0.564	0.428	0.564	0.28	0.406
19	0.876	0.814	0.876	0.814	0.87	0.876	0.94	0.55	0.94	0.55	0.902	0.556	0.836	0.934	0.836	0.934	0.784	0.918
12	0.892	0.864	0.892	0.864	0.812	0.884	0.928	0.47	0.928	0.47	0.906	0.724	0.956	0.904	0.956	0.904	0.918	0.966
11	0.746	0.328	0.746	0.328	0.786	0.38	0.808	0.148	0.808	0.148	0.82	0.134	0.856	0.406	0.856	0.406	0.868	0.448
10	0.806	0.62	0.806	0.62	0.77	0.67	0.602	0.554	0.602	0.554	0.52	0.552	0.676	0.782	0.676	0.782	0.604	0.702
1	0.66	0.612	0.66	0.612	0.66	0.684	0.538	0.664	0.538	0.664	0.548	0.628	0.58	0.64	0.58	0.64	0.576	0.61
24	0.676	0.316	0.676	0.316	0.678	0.334	0.848	0.96	0.848	0.96	0.826	0.93	0.898	0.944	0.898	0.944	0.86	0.89
23	0.932	0.314	0.932	0.314	0.964	0.368	0.84	0.082	0.84	0.082	0.856	0.11	0.678	0.08	0.678	0.08	0.692	0.052
59	0.118	0.014	0.118	0.014	0.098	0.018	0.074	0.002	0.074	0.002	0.052	0.006	0.08	0.002	0.08	0.002	0.06	0
60	0.85	0.592	0.85	0.592	0.744	0.66	0.73	0.712	0.73	0.712	0.864	0.804	0.772	0.306	0.772	0.306	0.88	0.388
46	0.346	0.534	0.346	0.534	0.272	0.418	0.788	0.826	0.788	0.826	0.748	0.816	0.838	0.792	0.838	0.792	0.77	0.866
64	0.548	0.556	0.548	0.556	0.58	0.544	0.43	0.418	0.43	0.418	0.452	0.438	0.502	0.27	0.502	0.27	0.496	0.306
57	0.886	0.824	0.886	0.824	0.926	0.738	0.754	0.216	0.754	0.216	0.876	0.198	0.79	0.786	0.79	0.786	0.914	0.768
45	0.244	0.338	0.244	0.338	0.324	0.46	0.26	0.05	0.26	0.05	0.334	0.07	0.354	0.254	0.354	0.254	0.404	0.288
52	0.774	0.42	0.774	0.42	0.768	0.378	0.758	0.114	0.758	0.114	0.734	0.126	0.806	0.464	0.806	0.464	0.77	0.588
67	0.736	0.734	0.736	0.734	0.676	0.884	0.734	0.888	0.734	0.888	0.652	0.902	0.772	0.88	0.772	0.88	0.696	0.912
51	0.894	0.804	0.894	0.804	0.952	0.786	0.786	0.638	0.786	0.638	0.87	0.726	0.434	0.648	0.434	0.648	0.508	0.708
44	0.586	0.428	0.586	0.428	0.378	0.398	0.432	0.038	0.432	0.038	0.34	0.024	0.492	0.35	0.492	0.35	0.422	0.26
43	0.318	0.774	0.318	0.774	0.47	0.694	0.264	0.424	0.264	0.424	0.34	0.576	0.31	0.422	0.31	0.422	0.426	0.61
58	0.51	0.038	0.51	0.038	0.512	0.044	0.248	0.01	0.248	0.01	0.262	0.014	0.35	0.01	0.35	0.01	0.366	0.006
65	0.284	0.022	0.284	0.022	0.26	0.022	0.32	0.176	0.32	0.176	0.28	0.154	0.356	0.164	0.356	0.164	0.324	0.134
66	0.904	0.428	0.904	0.428	0.784	0.54	0.962	0.902	0.962	0.902	0.93	0.908	0.856	0.938	0.856	0.938	0.968	0.926
61	0.174	0.032	0.174	0.032	0.16	0.026	0.194	0.144	0.194	0.144	0.198	0.126	0.22	0.122	0.22	0.122	0.242	0.114
47	0.66	0.362	0.66	0.362	0.658	0.426	0.652	0.504	0.652	0.504	0.664	0.54	0.532	0.702	0.532	0.702	0.656	0.782
40	0.288	0.358	0.288	0.358	0.224	0.232	0.302	0.164	0.302	0.164	0.246	0.216	0.278	0.166	0.278	0.166	0.276	0.176
41	0.598	0.912	0.598	0.912	0.54	0.852	0.714	0.878	0.714	0.878	0.68	0.808	0.664	0.35	0.664	0.35	0.708	0.4
42	0.896	0.23	0.896	0.23	0.96	0.25	0.712	0.07	0.712	0.07	0.742	0.072	0.802	0.086	0.802	0.086	0.794	0.1
62	0.384	0.074	0.384	0.074	0.386	0.1	0.266	0.022	0.266	0.022	0.22	0.048	0.292	0.014	0.292	0.014	0.274	0.034
