"run_ID"	"omni_ns_pvalue"	"omni_ns_stdpvalue"	"omni_is_pvalue"	"omni_is_stdpvalue"	"omni_ls_pvalue"	"omni_ls_stdpvalue"	"link_ns_pvalue"	"link_ns_stdpvalue"	"link_is_pvalue"	"link_is_stdpvalue"	"link_ls_pvalue"	"link_ls_stdpvalue"	"form_ns_pvalue"	"form_ns_stdpvalue"	"form_is_pvalue"	"form_is_stdpvalue"	"form_ls_pvalue"	"form_ls_stdpvalue"
35	0.406	0.608	0.406	0.608	0.474	0.492	0.362	0.57	0.362	0.57	0.406	0.426	0.384	0.296	0.384	0.296	0.45	0.324
34	0.854	0.516	0.854	0.516	0.88	0.534	0.782	0.778	0.782	0.778	0.79	0.746	0.852	0.78	0.852	0.78	0.882	0.83
36	0.772	0.966	0.772	0.966	0.892	0.982	0.546	0.456	0.546	0.456	0.666	0.528	0.602	0.598	0.602	0.598	0.742	0.736
16	0.54	0.206	0.54	0.206	0.548	0.192	0.718	0.706	0.718	0.706	0.804	0.726	0.964	0.948	0.964	0.948	0.988	0.924
31	0.426	0.704	0.426	0.704	0.446	0.694	0.606	0.546	0.606	0.546	0.722	0.626	0.682	0.552	0.682	0.552	0.812	0.612
21	0.856	0.83	0.856	0.83	0.858	0.712	0.634	0.436	0.634	0.436	0.774	0.71	0.73	0.474	0.73	0.474	0.854	0.76
20	0.892	0.906	0.892	0.906	0.922	0.938	0.826	0.754	0.826	0.754	0.832	0.76	0.874	0.656	0.874	0.656	0.91	0.76
25	0.388	0.678	0.388	0.678	0.276	0.49	0.688	0.572	0.688	0.572	0.534	0.57	0.68	0.588	0.68	0.588	0.654	0.59
29	0.69	0.49	0.69	0.49	0.694	0.502	0.542	0.296	0.542	0.296	0.532	0.282	0.618	0.626	0.618	0.626	0.65	0.73
30	0.782	0.8	0.782	0.8	0.812	0.824	0.86	0.796	0.86	0.796	0.91	0.76	0.862	0.952	0.862	0.952	0.894	0.982
4	0.488	0.484	0.488	0.484	0.49	0.508	0.362	0.558	0.362	0.558	0.368	0.618	0.386	0.544	0.386	0.544	0.41	0.592
3	0.63	0.93	0.63	0.93	0.468	0.892	0.646	0.9	0.646	0.9	0.54	0.818	0.438	0.632	0.438	0.632	0.334	0.476
22	0.526	0.76	0.526	0.76	0.488	0.732	0.778	0.698	0.778	0.698	0.62	0.774	0.84	0.86	0.84	0.86	0.682	0.738
2	0.706	0.854	0.706	0.854	0.368	0.656	0.856	0.888	0.856	0.888	0.804	0.836	0.932	0.742	0.932	0.742	0.958	0.872
15	0.828	0.966	0.828	0.966	0.858	0.976	0.81	0.808	0.81	0.808	0.79	0.924	0.87	0.748	0.87	0.748	0.858	0.838
18	0.804	0.706	0.804	0.706	0.884	0.764	0.944	0.868	0.944	0.868	0.912	0.888	0.792	0.896	0.792	0.896	0.888	0.888
27	0.042	0.15	0.042	0.15	0.06	0.15	0.066	0.12	0.066	0.12	0.084	0.11	0.09	0.106	0.09	0.106	0.1	0.102
14	0.746	0.726	0.746	0.726	0.75	0.682	0.61	0.644	0.61	0.644	0.62	0.674	0.656	0.636	0.656	0.636	0.692	0.668
26	0.91	0.5	0.91	0.5	0.96	0.52	0.646	0.258	0.646	0.258	0.826	0.396	0.738	0.484	0.738	0.484	0.78	0.614
28	0.722	0.15	0.722	0.15	0.544	0.304	0.636	0.042	0.636	0.042	0.632	0.098	0.72	0.062	0.72	0.062	0.704	0.126
17	0.78	0.952	0.78	0.952	0.958	0.848	0.714	0.964	0.714	0.964	0.868	0.936	0.52	0.634	0.52	0.634	0.67	0.694
13	0.476	0.492	0.476	0.492	0.806	0.666	0.33	0.172	0.33	0.172	0.6	0.254	0.404	0.18	0.404	0.18	0.558	0.228
32	0.394	0.778	0.394	0.778	0.366	0.814	0.284	0.43	0.284	0.43	0.25	0.48	0.306	0.446	0.306	0.446	0.292	0.478
33	0.748	0.518	0.748	0.518	0.772	0.484	0.48	0.182	0.48	0.182	0.492	0.172	0.776	0.784	0.776	0.784	0.756	0.772
38	0.756	0.948	0.756	0.948	0.82	0.828	0.732	0.836	0.732	0.836	0.778	0.744	0.73	0.86	0.73	0.86	0.828	0.906
39	0.688	0.572	0.688	0.572	0.768	0.71	0.478	0.408	0.478	0.408	0.56	0.504	0.562	0.574	0.562	0.574	0.62	0.542
37	0.438	0.252	0.438	0.252	0.436	0.232	0.736	0.094	0.736	0.094	0.728	0.19	0.808	0.344	0.808	0.344	0.792	0.384
8	0.686	0.426	0.686	0.426	0.492	0.37	0.636	0.696	0.636	0.696	0.588	0.45	0.728	0.662	0.728	0.662	0.51	0.658
5	0.63	0.734	0.63	0.734	0.546	0.614	0.81	0.862	0.81	0.862	0.868	0.882	0.846	0.858	0.846	0.858	0.888	0.846
6	0.594	0.332	0.594	0.332	0.578	0.364	0.488	0.226	0.488	0.226	0.448	0.162	0.542	0.206	0.542	0.206	0.54	0.162
7	0.438	0.4	0.438	0.4	0.552	0.518	0.288	0.528	0.288	0.528	0.376	0.474	0.31	0.478	0.31	0.478	0.392	0.636
11	0.868	0.708	0.868	0.708	0.85	0.7	0.816	0.634	0.816	0.634	0.814	0.536	0.93	0.91	0.93	0.91	0.946	0.89
12	0.256	0.512	0.256	0.512	0.344	0.438	0.138	0.294	0.138	0.294	0.184	0.338	0.184	0.272	0.184	0.272	0.232	0.242
10	0.858	0.446	0.858	0.446	0.85	0.482	0.776	0.738	0.776	0.738	0.762	0.75	0.838	0.918	0.838	0.918	0.814	0.924
19	0.482	0.788	0.482	0.788	0.414	0.654	0.518	0.498	0.518	0.498	0.422	0.368	0.604	0.538	0.604	0.538	0.496	0.478
9	0.96	0.978	0.96	0.978	0.894	0.98	0.828	0.896	0.828	0.896	0.714	0.85	0.86	0.8	0.86	0.8	0.796	0.708
1	0.994	0.864	0.994	0.864	0.984	0.776	0.968	0.868	0.968	0.868	0.98	0.884	0.756	0.88	0.756	0.88	0.798	0.896
23	0.704	0.56	0.704	0.56	0.776	0.354	0.524	0.574	0.524	0.574	0.586	0.514	0.574	0.59	0.574	0.59	0.638	0.516
24	0.374	0.588	0.374	0.588	0.528	0.676	0.24	0.176	0.24	0.176	0.34	0.248	0.63	0.722	0.63	0.722	0.68	0.832
59	0.822	0.818	0.822	0.818	0.71	0.838	0.584	0.822	0.584	0.822	0.51	0.824	0.686	0.826	0.686	0.826	0.584	0.798
60	0.888	0.414	0.888	0.414	0.826	0.34	0.852	0.468	0.852	0.468	0.748	0.432	0.884	0.834	0.884	0.834	0.804	0.94
64	0.166	0.5	0.166	0.5	0.118	0.284	0.106	0.27	0.106	0.27	0.072	0.142	0.122	0.248	0.122	0.248	0.086	0.21
46	0.406	0.604	0.406	0.604	0.342	0.422	0.704	0.776	0.704	0.776	0.66	0.786	0.52	0.654	0.52	0.654	0.438	0.598
57	0.522	0.254	0.522	0.254	0.566	0.354	0.322	0.078	0.322	0.078	0.33	0.11	0.316	0.178	0.316	0.178	0.332	0.216
51	0.804	0.738	0.804	0.738	0.674	0.712	0.942	0.92	0.942	0.92	0.83	0.95	0.85	0.612	0.85	0.612	0.88	0.678
45	0.932	0.898	0.932	0.898	0.93	0.806	0.902	0.784	0.902	0.784	0.84	0.654	0.962	0.854	0.962	0.854	0.918	0.754
52	0.77	0.932	0.77	0.932	0.696	0.902	0.53	0.57	0.53	0.57	0.464	0.61	0.578	0.53	0.578	0.53	0.53	0.568
65	0.766	0.954	0.766	0.954	0.68	0.868	0.96	0.758	0.96	0.758	0.94	0.76	0.904	0.752	0.904	0.752	0.902	0.794
40	0.288	0.758	0.288	0.758	0.388	0.582	0.204	0.324	0.204	0.324	0.238	0.408	0.554	0.814	0.554	0.814	0.696	0.858
66	0.494	0.79	0.494	0.79	0.52	0.786	0.316	0.308	0.316	0.308	0.34	0.382	0.828	0.92	0.828	0.92	0.874	0.958
67	0.866	0.702	0.866	0.702	0.844	0.738	0.962	0.5	0.962	0.5	0.946	0.458	0.97	0.99	0.97	0.99	0.97	0.98
44	0.572	0.606	0.572	0.606	0.412	0.544	0.648	0.676	0.648	0.676	0.796	0.778	0.358	0.476	0.358	0.476	0.572	0.636
47	0.718	0.91	0.718	0.91	0.71	0.902	0.718	0.932	0.718	0.932	0.728	0.914	0.78	0.718	0.78	0.718	0.784	0.702
