"run_ID"	"omni_ns_pvalue"	"omni_ns_stdpvalue"	"omni_is_pvalue"	"omni_is_stdpvalue"	"omni_ls_pvalue"	"omni_ls_stdpvalue"	"link_ns_pvalue"	"link_ns_stdpvalue"	"link_is_pvalue"	"link_is_stdpvalue"	"link_ls_pvalue"	"link_ls_stdpvalue"	"form_ns_pvalue"	"form_ns_stdpvalue"	"form_is_pvalue"	"form_is_stdpvalue"	"form_ls_pvalue"	"form_ls_stdpvalue"
1	0.77	0.648	0.77	0.648	0.75	0.664	0.936	0.914	0.936	0.914	0.932	0.878	0.966	0.578	0.966	0.578	0.964	0.622
24	0.558	0.268	0.558	0.268	0.518	0.186	0.54	0.08	0.54	0.08	0.516	0.088	0.42	0.078	0.42	0.078	0.488	0.064
23	0.896	0.872	0.896	0.872	0.82	0.898	0.726	0.484	0.726	0.484	0.662	0.54	0.786	0.63	0.786	0.63	0.738	0.726
59	0.094	0.072	0.094	0.072	0.056	0.09	0.05	0.036	0.05	0.036	0.024	0.03	0.064	0.028	0.064	0.028	0.044	0.028
46	0.19	0.206	0.19	0.206	0.174	0.144	0.148	0.188	0.148	0.188	0.14	0.168	0.164	0.132	0.164	0.132	0.16	0.13
45	0.91	0.302	0.91	0.302	0.868	0.29	0.692	0.16	0.692	0.16	0.652	0.138	0.742	0.158	0.742	0.158	0.692	0.138
64	0.564	0.338	0.564	0.338	0.592	0.41	0.584	0.16	0.584	0.16	0.554	0.19	0.628	0.138	0.628	0.138	0.588	0.172
57	0.298	0.354	0.298	0.354	0.578	0.522	0.18	0.128	0.18	0.128	0.406	0.452	0.226	0.15	0.226	0.15	0.46	0.37
60	0.594	0.436	0.594	0.436	0.446	0.282	0.482	0.214	0.482	0.214	0.308	0.128	0.546	0.208	0.546	0.208	0.374	0.118
67	0.776	0.644	0.776	0.644	0.802	0.762	0.57	0.306	0.57	0.306	0.54	0.432	0.214	0.088	0.214	0.088	0.206	0.136
44	0.8	0.65	0.8	0.65	0.628	0.642	0.748	0.45	0.748	0.45	0.816	0.372	0.376	0.124	0.376	0.124	0.292	0.106
43	0.618	0.288	0.618	0.288	0.556	0.182	0.424	0.106	0.424	0.106	0.352	0.086	0.438	0.11	0.438	0.11	0.356	0.082
51	0.766	0.426	0.766	0.426	0.758	0.384	0.678	0.226	0.678	0.226	0.696	0.174	0.38	0.162	0.38	0.162	0.388	0.156
52	0.546	0.394	0.546	0.394	0.554	0.388	0.49	0.376	0.49	0.376	0.472	0.33	0.544	0.312	0.544	0.312	0.544	0.292
41	0.496	0.302	0.496	0.302	0.512	0.426	0.298	0.142	0.298	0.142	0.272	0.192	0.36	0.11	0.36	0.11	0.374	0.176
61	0.848	0.546	0.848	0.546	0.866	0.536	0.598	0.488	0.598	0.488	0.696	0.546	0.206	0.13	0.206	0.13	0.196	0.08
47	0.526	0.598	0.526	0.598	0.42	0.644	0.498	0.278	0.498	0.278	0.374	0.29	0.558	0.356	0.558	0.356	0.458	0.368
42	0.33	0.174	0.33	0.174	0.33	0.146	0.202	0.12	0.202	0.12	0.184	0.142	0.238	0.142	0.238	0.142	0.228	0.178
62	0.348	0.19	0.348	0.19	0.27	0.156	0.348	0.094	0.348	0.094	0.242	0.088	0.254	0.084	0.254	0.084	0.186	0.062
65	0.404	0.114	0.404	0.114	0.324	0.094	0.242	0.042	0.242	0.042	0.202	0.044	0.14	0.042	0.14	0.042	0.194	0.028
66	0.586	0.472	0.586	0.472	0.536	0.326	0.578	0.326	0.578	0.326	0.516	0.246	0.578	0.306	0.578	0.306	0.558	0.286
63	0.726	0.314	0.726	0.314	0.628	0.298	0.508	0.138	0.508	0.138	0.396	0.124	0.592	0.142	0.592	0.142	0.51	0.12
40	0.444	0.142	0.444	0.142	0.414	0.206	0.274	0.052	0.274	0.052	0.236	0.08	0.324	0.05	0.324	0.05	0.288	0.076
58	0.788	0.662	0.788	0.662	0.7	0.558	0.676	0.72	0.676	0.72	0.624	0.716	0.69	0.374	0.69	0.374	0.586	0.39
48	0.522	0.548	0.522	0.548	0.376	0.394	0.824	0.658	0.824	0.658	0.664	0.694	0.714	0.384	0.714	0.384	0.58	0.308
49	0.332	0.108	0.332	0.108	0.314	0.096	0.2	0.034	0.2	0.034	0.166	0.036	0.232	0.034	0.232	0.034	0.196	0.026
50	0.764	0.702	0.764	0.702	0.776	0.694	0.68	0.352	0.68	0.352	0.664	0.366	0.698	0.404	0.698	0.404	0.698	0.412
55	0.198	0.03	0.198	0.03	0.144	0.026	0.11	0.022	0.11	0.022	0.082	0.02	0.114	0.008	0.114	0.008	0.082	0.008
56	0.85	0.352	0.85	0.352	0.916	0.398	0.856	0.584	0.856	0.584	0.906	0.59	0.9	0.606	0.9	0.606	0.938	0.576
68	0.126	0.198	0.126	0.198	0.068	0.112	0.108	0.27	0.108	0.27	0.064	0.17	0.108	0.256	0.108	0.256	0.066	0.148
53	0.452	0.116	0.452	0.116	0.428	0.12	0.28	0.058	0.28	0.058	0.29	0.062	0.338	0.044	0.338	0.044	0.324	0.046
77	0.274	0.234	0.274	0.234	0.228	0.212	0.216	0.23	0.216	0.23	0.164	0.172	0.288	0.07	0.288	0.07	0.212	0.078
76	0.218	0.226	0.218	0.226	0.22	0.212	0.126	0.108	0.126	0.108	0.11	0.112	0.134	0.096	0.134	0.096	0.14	0.106
54	0.766	0.268	0.766	0.268	0.73	0.272	0.716	0.264	0.716	0.264	0.684	0.178	0.786	0.262	0.786	0.262	0.748	0.192
78	0.356	0.648	0.356	0.648	0.49	0.698	0.218	0.324	0.218	0.324	0.292	0.444	0.256	0.364	0.256	0.364	0.316	0.402
72	0.48	0.138	0.48	0.138	0.49	0.2	0.352	0.044	0.352	0.044	0.34	0.082	0.412	0.046	0.412	0.046	0.434	0.09
70	0.69	0.29	0.69	0.29	0.646	0.258	0.446	0.146	0.446	0.146	0.472	0.148	0.472	0.136	0.472	0.136	0.518	0.132
73	0.408	0.126	0.408	0.126	0.326	0.13	0.25	0.052	0.25	0.052	0.204	0.064	0.294	0.046	0.294	0.046	0.232	0.058
71	0.34	0.488	0.34	0.488	0.336	0.492	0.26	0.246	0.26	0.246	0.232	0.286	0.186	0.06	0.186	0.06	0.166	0.06
75	0.454	0.658	0.454	0.658	0.42	0.584	0.418	0.554	0.418	0.554	0.436	0.564	0.444	0.278	0.444	0.278	0.486	0.288
74	0.726	0.864	0.726	0.864	0.734	0.742	0.648	0.624	0.648	0.624	0.508	0.732	0.586	0.146	0.586	0.146	0.586	0.164
69	0.238	0.13	0.238	0.13	0.192	0.146	0.156	0.048	0.156	0.048	0.124	0.056	0.202	0.052	0.202	0.052	0.148	0.044
86	0.118	0.298	0.118	0.298	0.108	0.182	0.084	0.182	0.084	0.182	0.062	0.104	0.086	0.13	0.086	0.13	0.06	0.116
95	0.454	0.61	0.454	0.61	0.472	0.518	0.296	0.366	0.296	0.366	0.256	0.396	0.176	0.068	0.176	0.068	0.162	0.106
85	0.216	0.168	0.216	0.168	0.296	0.35	0.1	0.056	0.1	0.056	0.152	0.132	0.14	0.048	0.14	0.048	0.216	0.112
91	0.93	0.682	0.93	0.682	0.9	0.764	0.732	0.452	0.732	0.452	0.72	0.436	0.788	0.472	0.788	0.472	0.768	0.454
92	0.302	0.394	0.302	0.394	0.218	0.344	0.242	0.158	0.242	0.158	0.29	0.17	0.232	0.19	0.232	0.19	0.306	0.13
83	0.694	0.708	0.694	0.708	0.684	0.722	0.492	0.37	0.492	0.37	0.572	0.306	0.542	0.494	0.542	0.494	0.636	0.534
84	0.462	0.322	0.462	0.322	0.498	0.248	0.314	0.144	0.314	0.144	0.286	0.106	0.258	0.162	0.258	0.162	0.246	0.114
81	0.254	0.082	0.254	0.082	0.238	0.048	0.17	0.038	0.17	0.038	0.16	0.024	0.186	0.022	0.186	0.022	0.172	0.02
87	0.322	0.174	0.322	0.174	0.316	0.254	0.232	0.078	0.232	0.078	0.22	0.098	0.346	0.058	0.346	0.058	0.35	0.058
80	0.946	0.908	0.946	0.908	0.926	0.818	0.802	0.632	0.802	0.632	0.938	0.67	0.896	0.636	0.896	0.636	0.974	0.7
82	0.63	0.256	0.63	0.256	0.628	0.414	0.496	0.112	0.496	0.112	0.576	0.184	0.54	0.092	0.54	0.092	0.61	0.16
79	0.584	0.4	0.584	0.4	0.444	0.296	0.59	0.188	0.59	0.188	0.758	0.136	0.534	0.172	0.534	0.172	0.586	0.244
89	0.328	0.378	0.328	0.378	0.25	0.33	0.308	0.146	0.308	0.146	0.252	0.142	0.332	0.2	0.332	0.2	0.286	0.234
90	0.046	0.01	0.046	0.01	0.016	0.01	0.034	0.006	0.034	0.006	0.008	0.006	0.038	0.006	0.038	0.006	0.006	0.006
88	0.774	0.42	0.774	0.42	0.722	0.538	0.504	0.156	0.504	0.156	0.446	0.222	0.778	0.184	0.778	0.184	0.816	0.208
93	0.698	0.958	0.698	0.958	0.776	0.958	0.876	0.486	0.876	0.486	0.926	0.412	0.91	0.68	0.91	0.68	0.876	0.8
94	0.414	0.418	0.414	0.418	0.574	0.534	0.578	0.518	0.578	0.518	0.808	0.598	0.418	0.136	0.418	0.136	0.344	0.09
96	0.356	0.36	0.356	0.36	0.302	0.328	0.54	0.29	0.54	0.29	0.56	0.276	0.636	0.304	0.636	0.304	0.658	0.288
98	0.822	0.804	0.822	0.804	0.864	0.854	0.794	0.446	0.794	0.446	0.762	0.532	0.518	0.44	0.518	0.44	0.504	0.532
97	0.576	0.598	0.576	0.598	0.46	0.71	0.742	0.49	0.742	0.49	0.766	0.568	0.582	0.73	0.582	0.73	0.566	0.638
105	0.592	0.408	0.592	0.408	0.28	0.172	0.648	0.248	0.648	0.248	0.408	0.23	0.684	0.206	0.684	0.206	0.426	0.198
99	0.232	0.098	0.232	0.098	0.252	0.166	0.12	0.058	0.12	0.058	0.128	0.056	0.104	0.05	0.104	0.05	0.096	0.052
101	0.59	0.19	0.59	0.19	0.522	0.208	0.596	0.098	0.596	0.098	0.626	0.086	0.644	0.106	0.644	0.106	0.666	0.122
102	0.258	0.414	0.258	0.414	0.216	0.39	0.146	0.172	0.146	0.172	0.138	0.196	0.184	0.168	0.184	0.168	0.162	0.164
100	0.79	0.684	0.79	0.684	0.764	0.7	0.8	0.328	0.8	0.328	0.776	0.308	0.594	0.43	0.594	0.43	0.624	0.494
103	0.554	0.532	0.554	0.532	0.566	0.62	0.572	0.27	0.572	0.27	0.538	0.34	0.636	0.306	0.636	0.306	0.604	0.328
104	0.154	0.22	0.154	0.22	0.25	0.362	0.088	0.102	0.088	0.102	0.114	0.124	0.104	0.098	0.104	0.098	0.15	0.136
106	0.482	0.232	0.482	0.232	0.438	0.224	0.364	0.132	0.364	0.132	0.296	0.12	0.236	0.09	0.236	0.09	0.26	0.084
108	0.142	0.324	0.142	0.324	0.2	0.262	0.086	0.18	0.086	0.18	0.154	0.154	0.214	0.15	0.214	0.15	0.21	0.132
107	0.566	0.214	0.566	0.214	0.612	0.286	0.362	0.08	0.362	0.08	0.384	0.11	0.426	0.076	0.426	0.076	0.424	0.092
115	0.292	0.332	0.292	0.332	0.094	0.094	0.294	0.166	0.294	0.166	0.114	0.152	0.332	0.07	0.332	0.07	0.136	0.13
111	0.518	0.16	0.518	0.16	0.432	0.114	0.282	0.068	0.282	0.068	0.26	0.062	0.3	0.05	0.3	0.05	0.278	0.054
112	0.154	0.096	0.154	0.096	0.118	0.106	0.158	0.044	0.158	0.044	0.14	0.052	0.2	0.022	0.2	0.022	0.156	0.04
116	0.78	0.876	0.78	0.876	0.852	0.87	0.508	0.374	0.508	0.374	0.614	0.424	0.512	0.506	0.512	0.506	0.616	0.5
110	0.594	0.798	0.594	0.798	0.448	0.732	0.374	0.578	0.374	0.578	0.274	0.428	0.252	0.174	0.252	0.174	0.136	0.112
109	0.176	0.122	0.176	0.122	0.156	0.102	0.146	0.05	0.146	0.05	0.138	0.046	0.2	0.06	0.2	0.06	0.184	0.046
114	0.268	0.204	0.268	0.204	0.242	0.148	0.164	0.11	0.164	0.11	0.128	0.07	0.142	0.08	0.142	0.08	0.114	0.054
113	0.578	0.37	0.578	0.37	0.398	0.19	0.458	0.158	0.458	0.158	0.352	0.084	0.556	0.142	0.556	0.142	0.46	0.086
117	0.566	0.264	0.566	0.264	0.678	0.196	0.584	0.1	0.584	0.1	0.582	0.076	0.682	0.092	0.682	0.092	0.648	0.078
125	0.358	0.53	0.358	0.53	0.174	0.318	0.32	0.238	0.32	0.238	0.094	0.138	0.366	0.218	0.366	0.218	0.112	0.102
124	0.272	0.172	0.272	0.172	0.246	0.154	0.166	0.064	0.166	0.064	0.154	0.048	0.182	0.06	0.182	0.06	0.162	0.052
123	0.298	0.292	0.298	0.292	0.326	0.25	0.258	0.126	0.258	0.126	0.3	0.118	0.288	0.094	0.288	0.094	0.326	0.088
122	0.602	0.47	0.602	0.47	0.526	0.388	0.796	0.2	0.796	0.2	0.816	0.154	0.708	0.174	0.708	0.174	0.726	0.162
121	0.744	0.652	0.744	0.652	0.718	0.476	0.48	0.27	0.48	0.27	0.682	0.188	0.57	0.26	0.57	0.26	0.766	0.204
131	0.598	0.274	0.598	0.274	0.29	0.264	0.612	0.428	0.612	0.428	0.458	0.37	0.726	0.73	0.726	0.73	0.444	0.458
130	0.384	0.096	0.384	0.096	0.334	0.114	0.25	0.054	0.25	0.054	0.19	0.064	0.248	0.028	0.248	0.028	0.212	0.052
126	0.704	0.4	0.704	0.4	0.694	0.346	0.472	0.176	0.472	0.176	0.44	0.142	0.428	0.154	0.428	0.154	0.378	0.116
120	0.936	0.71	0.936	0.71	0.914	0.734	0.842	0.344	0.842	0.344	0.846	0.362	0.874	0.54	0.874	0.54	0.894	0.67
129	0.638	0.418	0.638	0.418	0.292	0.348	0.36	0.302	0.36	0.302	0.164	0.142	0.27	0.32	0.27	0.32	0.148	0.16
127	0.684	0.312	0.684	0.312	0.574	0.324	0.486	0.154	0.486	0.154	0.416	0.178	0.278	0.132	0.278	0.132	0.186	0.092
119	0.512	0.146	0.512	0.146	0.58	0.104	0.352	0.062	0.352	0.062	0.392	0.042	0.354	0.052	0.354	0.052	0.298	0.042
118	0.478	0.16	0.478	0.16	0.17	0.044	0.264	0.064	0.264	0.064	0.088	0.028	0.312	0.064	0.312	0.064	0.108	0.022
128	0.728	0.554	0.728	0.554	0.618	0.602	0.868	0.614	0.868	0.614	0.874	0.58	0.908	0.952	0.908	0.952	0.932	0.936
134	0.312	0.244	0.312	0.244	0.29	0.29	0.332	0.448	0.332	0.448	0.344	0.37	0.118	0.032	0.118	0.032	0.114	0.03
132	0.278	0.212	0.278	0.212	0.268	0.232	0.194	0.242	0.194	0.242	0.202	0.236	0.214	0.122	0.214	0.122	0.22	0.106
140	0.368	0.168	0.368	0.168	0.308	0.168	0.216	0.08	0.216	0.08	0.204	0.076	0.22	0.064	0.22	0.064	0.212	0.082
133	0.464	0.43	0.464	0.43	0.492	0.202	0.274	0.19	0.274	0.19	0.324	0.206	0.396	0.186	0.396	0.186	0.38	0.202
142	0.782	0.474	0.782	0.474	0.868	0.41	0.794	0.248	0.794	0.248	0.826	0.208	0.632	0.268	0.632	0.268	0.626	0.254
141	0.386	0.192	0.386	0.192	0.532	0.272	0.224	0.07	0.224	0.07	0.326	0.126	0.284	0.062	0.284	0.062	0.356	0.096
139	0.524	0.616	0.524	0.616	0.748	0.532	0.442	0.278	0.442	0.278	0.56	0.244	0.33	0.048	0.33	0.048	0.306	0.052
143	0.314	0.298	0.314	0.298	0.304	0.334	0.248	0.194	0.248	0.194	0.216	0.174	0.25	0.21	0.25	0.21	0.214	0.178
144	0.456	0.458	0.456	0.458	0.404	0.384	0.364	0.48	0.364	0.48	0.306	0.394	0.416	0.46	0.416	0.46	0.336	0.36
137	0.672	0.43	0.672	0.43	0.614	0.316	0.36	0.178	0.36	0.178	0.328	0.122	0.54	0.156	0.54	0.156	0.512	0.14
135	0.594	0.316	0.594	0.316	0.632	0.378	0.662	0.146	0.662	0.146	0.606	0.138	0.154	0.028	0.154	0.028	0.104	0.018
136	0.524	0.342	0.524	0.342	0.59	0.432	0.422	0.27	0.422	0.27	0.534	0.36	0.362	0.082	0.362	0.082	0.392	0.038
138	0.504	0.404	0.504	0.404	0.46	0.402	0.314	0.204	0.314	0.204	0.568	0.186	0.388	0.168	0.388	0.168	0.648	0.182
145	0.772	0.448	0.772	0.448	0.642	0.534	0.52	0.308	0.52	0.308	0.426	0.35	0.384	0.272	0.384	0.272	0.318	0.234
146	0.504	0.884	0.504	0.884	0.65	0.904	0.404	0.51	0.404	0.51	0.51	0.576	0.426	0.622	0.426	0.622	0.572	0.694
149	0.662	0.736	0.662	0.736	0.518	0.612	0.896	0.77	0.896	0.77	0.72	0.79	0.882	0.594	0.882	0.594	0.764	0.75
147	0.772	0.27	0.772	0.27	0.676	0.284	0.554	0.16	0.554	0.16	0.448	0.15	0.618	0.156	0.618	0.156	0.492	0.136
148	0.168	0.086	0.168	0.086	0.144	0.09	0.094	0.046	0.094	0.046	0.088	0.048	0.09	0.034	0.09	0.034	0.088	0.034
152	0.518	0.172	0.518	0.172	0.532	0.234	0.33	0.068	0.33	0.068	0.308	0.088	0.38	0.056	0.38	0.056	0.368	0.088
154	0.552	0.062	0.552	0.062	0.548	0.156	0.344	0.036	0.344	0.036	0.334	0.052	0.404	0.018	0.404	0.018	0.41	0.046
151	0.574	0.534	0.574	0.534	0.674	0.57	0.364	0.49	0.364	0.49	0.782	0.654	0.396	0.558	0.396	0.558	0.83	0.74
150	0.684	0.46	0.684	0.46	0.676	0.6	0.424	0.21	0.424	0.21	0.416	0.292	0.392	0.208	0.392	0.208	0.322	0.194
153	0.464	0.32	0.464	0.32	0.34	0.392	0.586	0.138	0.586	0.138	0.494	0.158	0.276	0.08	0.276	0.08	0.272	0.084
157	0.288	0.236	0.288	0.236	0.494	0.312	0.13	0.116	0.13	0.116	0.244	0.16	0.296	0.11	0.296	0.11	0.41	0.128
174	0.24	0.062	0.24	0.062	0.276	0.098	0.142	0.026	0.142	0.026	0.14	0.032	0.19	0.022	0.19	0.022	0.176	0.034
173	0.68	0.578	0.68	0.578	0.704	0.684	0.446	0.27	0.446	0.27	0.468	0.346	0.498	0.348	0.498	0.348	0.55	0.446
172	0.618	0.656	0.618	0.656	0.274	0.406	0.46	0.468	0.46	0.468	0.178	0.172	0.476	0.474	0.476	0.474	0.188	0.162
163	0.302	0.056	0.302	0.056	0.27	0.08	0.204	0.034	0.204	0.034	0.192	0.034	0.222	0.032	0.222	0.032	0.232	0.03
160	0.62	0.624	0.62	0.624	0.738	0.638	0.398	0.298	0.398	0.298	0.48	0.382	0.508	0.248	0.508	0.248	0.592	0.372
159	0.742	0.376	0.742	0.376	0.57	0.452	0.67	0.14	0.67	0.14	0.582	0.216	0.652	0.15	0.652	0.15	0.608	0.202
178	0.724	0.414	0.724	0.414	0.672	0.414	0.58	0.17	0.58	0.17	0.522	0.21	0.672	0.22	0.672	0.22	0.65	0.25
158	0.678	0.442	0.678	0.442	0.696	0.436	0.556	0.47	0.556	0.47	0.6	0.45	0.57	0.13	0.57	0.13	0.532	0.13
179	0.144	0.068	0.144	0.068	0.142	0.062	0.09	0.044	0.09	0.044	0.076	0.028	0.114	0.034	0.114	0.034	0.094	0.014
