"run_ID"	"omni_ns_pvalue"	"omni_ns_stdpvalue"	"omni_is_pvalue"	"omni_is_stdpvalue"	"omni_ls_pvalue"	"omni_ls_stdpvalue"	"link_ns_pvalue"	"link_ns_stdpvalue"	"link_is_pvalue"	"link_is_stdpvalue"	"link_ls_pvalue"	"link_ls_stdpvalue"	"form_ns_pvalue"	"form_ns_stdpvalue"	"form_is_pvalue"	"form_is_stdpvalue"	"form_ls_pvalue"	"form_ls_stdpvalue"
6	0.34	0.096	0.34	0.096	0.454	0.106	0.24	0.03	0.24	0.03	0.272	0.028	0.268	0.03	0.268	0.03	0.32	0.038
5	0.072	0.004	0.072	0.004	0.07	0.024	0.036	0.002	0.036	0.002	0.036	0	0.042	0	0.042	0	0.042	0.002
9	0.84	0.456	0.84	0.456	0.776	0.732	0.604	0.176	0.604	0.176	0.784	0.218	0.726	0.168	0.726	0.168	0.842	0.346
12	0.794	0.626	0.794	0.626	0.592	0.604	0.846	0.494	0.846	0.494	0.72	0.348	0.78	0.506	0.78	0.506	0.772	0.358
19	0.318	0.328	0.318	0.328	0.242	0.102	0.166	0.096	0.166	0.096	0.108	0.026	0.178	0.116	0.178	0.116	0.132	0.022
11	0.566	0.3	0.566	0.3	0.418	0.288	0.496	0.258	0.496	0.258	0.636	0.336	0.62	0.28	0.62	0.28	0.586	0.344
10	0.106	0.018	0.106	0.018	0.088	0.122	0.076	0.03	0.076	0.03	0.086	0.042	0.078	0.008	0.078	0.008	0.092	0.004
1	0.84	0.462	0.84	0.462	0.764	0.392	0.596	0.162	0.596	0.162	0.532	0.092	0.444	0.16	0.444	0.16	0.496	0.108
24	0.43	0.158	0.43	0.158	0.442	0.136	0.352	0.114	0.352	0.114	0.344	0.096	0.384	0.016	0.384	0.016	0.41	0.018
23	0.152	0.04	0.152	0.04	0.212	0.054	0.28	0.018	0.28	0.018	0.372	0.02	0.316	0.006	0.316	0.006	0.386	0.012
59	0.378	0.356	0.378	0.356	0.452	0.268	0.396	0.428	0.396	0.428	0.464	0.358	0.71	0.346	0.71	0.346	0.616	0.31
46	0.782	0.386	0.782	0.386	0.788	0.456	0.598	0.304	0.598	0.304	0.622	0.322	0.684	0.286	0.684	0.286	0.704	0.302
45	0.558	0.278	0.558	0.278	0.53	0.176	0.33	0.082	0.33	0.082	0.27	0.05	0.386	0.076	0.386	0.076	0.348	0.054
60	0.544	0.112	0.544	0.112	0.558	0.132	0.678	0.082	0.678	0.082	0.722	0.112	0.244	0.148	0.244	0.148	0.214	0.164
64	0.742	0.392	0.742	0.392	0.756	0.544	0.55	0.184	0.55	0.184	0.542	0.308	0.422	0.102	0.422	0.102	0.422	0.112
57	0.548	0.19	0.548	0.19	0.488	0.17	0.422	0.238	0.422	0.238	0.348	0.238	0.48	0.024	0.48	0.024	0.412	0.042
67	0.346	0.078	0.346	0.078	0.284	0.072	0.388	0.032	0.388	0.032	0.322	0.028	0.18	0.028	0.18	0.028	0.162	0.016
44	0.514	0.02	0.514	0.02	0.59	0.028	0.328	0.01	0.328	0.01	0.41	0.01	0.028	0.006	0.028	0.006	0.02	0
51	0.75	0.12	0.75	0.12	0.792	0.12	0.532	0.016	0.532	0.016	0.56	0.024	0.308	0.058	0.308	0.058	0.396	0.074
43	0.532	0.192	0.532	0.192	0.524	0.222	0.414	0.182	0.414	0.182	0.356	0.108	0.154	0.138	0.154	0.138	0.134	0.136
52	0.63	0.106	0.63	0.106	0.44	0.072	0.794	0.37	0.794	0.37	0.698	0.316	0.876	0.48	0.876	0.48	0.782	0.32
41	0.126	0.018	0.126	0.018	0.148	0.054	0.092	0.008	0.092	0.008	0.104	0.024	0.108	0.012	0.108	0.012	0.12	0.028
61	0.54	0.122	0.54	0.122	0.534	0.176	0.288	0.034	0.288	0.034	0.306	0.05	0.104	0.028	0.104	0.028	0.1	0.048
47	0.664	0.45	0.664	0.45	0.716	0.394	0.798	0.452	0.798	0.452	0.87	0.498	0.412	0.358	0.412	0.358	0.388	0.262
42	0.342	0.038	0.342	0.038	0.316	0.046	0.184	0.004	0.184	0.004	0.174	0.018	0.214	0.024	0.214	0.024	0.198	0.014
66	0.536	0.548	0.536	0.548	0.546	0.576	0.476	0.346	0.476	0.346	0.546	0.316	0.226	0.114	0.226	0.114	0.242	0.138
65	0.26	0.242	0.26	0.242	0.142	0.112	0.152	0.084	0.152	0.084	0.086	0.042	0.182	0.074	0.182	0.074	0.106	0.058
62	0.524	0.026	0.524	0.026	0.494	0.018	0.4	0.01	0.4	0.01	0.352	0.008	0.44	0.008	0.44	0.008	0.416	0.004
58	0.386	0.052	0.386	0.052	0.416	0.048	0.374	0.026	0.374	0.026	0.378	0.01	0.098	0.016	0.098	0.016	0.12	0.014
63	0.318	0.412	0.318	0.412	0.252	0.396	0.284	0.276	0.284	0.276	0.224	0.338	0.332	0.13	0.332	0.13	0.254	0.164
40	0.228	0.03	0.228	0.03	0.194	0.012	0.308	0.016	0.308	0.016	0.266	0.006	0.338	0.038	0.338	0.038	0.29	0.02
48	0.584	0.164	0.584	0.164	0.558	0.162	0.356	0.35	0.356	0.35	0.32	0.384	0.432	0.14	0.432	0.14	0.402	0.068
49	0.394	0.114	0.394	0.114	0.408	0.184	0.318	0.056	0.318	0.056	0.252	0.068	0.034	0.004	0.034	0.004	0.018	0.002
50	0.226	0.184	0.226	0.184	0.206	0.148	0.16	0.15	0.16	0.15	0.134	0.086	0.178	0.148	0.178	0.148	0.162	0.08
55	0.194	0.108	0.194	0.108	0.202	0.128	0.122	0.04	0.122	0.04	0.114	0.04	0.17	0.04	0.17	0.04	0.168	0.046
56	0.214	0.088	0.214	0.088	0.266	0.124	0.142	0.04	0.142	0.04	0.168	0.044	0.17	0.024	0.17	0.024	0.2	0.042
68	0.218	0.016	0.218	0.016	0.244	0.012	0.138	0.002	0.138	0.002	0.156	0.008	0.156	0.006	0.156	0.006	0.172	0.006
53	0.544	0.23	0.544	0.23	0.496	0.25	0.346	0.2	0.346	0.2	0.28	0.246	0.406	0.53	0.406	0.53	0.324	0.422
54	0.362	0.628	0.362	0.628	0.23	0.348	0.19	0.218	0.19	0.218	0.14	0.1	0.248	0.136	0.248	0.136	0.186	0.13
77	0.222	0.096	0.222	0.096	0.174	0.072	0.126	0.034	0.126	0.034	0.106	0.034	0.164	0.028	0.164	0.028	0.12	0.022
76	0.15	0.006	0.15	0.006	0.14	0.004	0.108	0.004	0.108	0.004	0.098	0.002	0.128	0.004	0.128	0.004	0.106	0.002
72	0.378	0.072	0.378	0.072	0.53	0.098	0.232	0.02	0.232	0.02	0.352	0.032	0.256	0.032	0.256	0.032	0.386	0.024
70	0.264	0.054	0.264	0.054	0.304	0.04	0.168	0.02	0.168	0.02	0.184	0.018	0.172	0.012	0.172	0.012	0.204	0.01
73	0.242	0.112	0.242	0.112	0.148	0.086	0.148	0.032	0.148	0.032	0.088	0.028	0.16	0.042	0.16	0.042	0.098	0.03
71	0.684	0.346	0.684	0.346	0.514	0.178	0.842	0.036	0.842	0.036	0.632	0.028	0.918	0.322	0.918	0.322	0.704	0.164
78	0.784	0.47	0.784	0.47	0.858	0.664	0.708	0.168	0.708	0.168	0.738	0.256	0.454	0.222	0.454	0.222	0.32	0.242
74	0.248	0.176	0.248	0.176	0.316	0.168	0.134	0.07	0.134	0.07	0.174	0.124	0.19	0.062	0.19	0.062	0.232	0.048
75	0.274	0.082	0.274	0.082	0.244	0.104	0.212	0.086	0.212	0.086	0.172	0.094	0.056	0.004	0.056	0.004	0.044	0.012
69	0.598	0.016	0.598	0.016	0.634	0.026	0.46	0.002	0.46	0.002	0.414	0.006	0.378	0.002	0.378	0.002	0.326	0.006
86	0.248	0.028	0.248	0.028	0.284	0.012	0.252	0.016	0.252	0.016	0.29	0.004	0.296	0.018	0.296	0.018	0.34	0.01
95	0.884	0.316	0.884	0.316	0.89	0.404	0.728	0.612	0.728	0.612	0.72	0.564	0.804	0.756	0.804	0.756	0.79	0.742
85	0.52	0.062	0.52	0.062	0.44	0.05	0.482	0.082	0.482	0.082	0.378	0.048	0.51	0.126	0.51	0.126	0.404	0.06
91	0.224	0.396	0.224	0.396	0.232	0.318	0.238	0.106	0.238	0.106	0.204	0.1	0.276	0.238	0.276	0.238	0.234	0.206
92	0.36	0.024	0.36	0.024	0.344	0.04	0.198	0.014	0.198	0.014	0.242	0.004	0.16	0.01	0.16	0.01	0.24	0.006
84	0.726	0.952	0.726	0.952	0.596	0.88	0.662	0.744	0.662	0.744	0.798	0.834	0.668	0.522	0.668	0.522	0.772	0.362
83	0.28	0.07	0.28	0.07	0.262	0.044	0.2	0.026	0.2	0.026	0.208	0.022	0.03	0.008	0.03	0.008	0.032	0.012
81	0.41	0.044	0.41	0.044	0.578	0.07	0.448	0.01	0.448	0.01	0.574	0.01	0.236	0.02	0.236	0.02	0.17	0.026
80	0.094	0.024	0.094	0.024	0.06	0.008	0.044	0.014	0.044	0.014	0.034	0.002	0.056	0.012	0.056	0.012	0.052	0.002
87	0.366	0.024	0.366	0.024	0.366	0.028	0.314	0.014	0.314	0.014	0.316	0.018	0.34	0.006	0.34	0.006	0.366	0.008
82	0.298	0.298	0.298	0.298	0.364	0.384	0.248	0.222	0.248	0.222	0.256	0.242	0.302	0.218	0.302	0.218	0.306	0.222
79	0.328	0.554	0.328	0.554	0.374	0.672	0.276	0.196	0.276	0.196	0.348	0.222	0.354	0.476	0.354	0.476	0.396	0.368
89	0.418	0.686	0.418	0.686	0.496	0.706	0.272	0.276	0.272	0.276	0.322	0.28	0.378	0.28	0.378	0.28	0.446	0.276
88	0.176	0.008	0.176	0.008	0.19	0.002	0.094	0.006	0.094	0.006	0.106	0	0.124	0.002	0.124	0.002	0.136	0
90	0.25	0.064	0.25	0.064	0.24	0.04	0.148	0.02	0.148	0.02	0.14	0.022	0.032	0.002	0.032	0.002	0.06	0.008
93	0.776	0.304	0.776	0.304	0.834	0.362	0.566	0.12	0.566	0.12	0.67	0.114	0.594	0.188	0.594	0.188	0.706	0.264
94	0.512	0.096	0.512	0.096	0.466	0.09	0.436	0.014	0.436	0.014	0.384	0.014	0.486	0.066	0.486	0.066	0.434	0.054
96	0.136	0.006	0.136	0.006	0.158	0.008	0.078	0.006	0.078	0.006	0.096	0.006	0.086	0.002	0.086	0.002	0.076	0.002
97	0.438	0.414	0.438	0.414	0.408	0.438	0.284	0.154	0.284	0.154	0.276	0.178	0.334	0.148	0.334	0.148	0.322	0.142
98	0.106	0.262	0.106	0.262	0.098	0.252	0.114	0.098	0.114	0.098	0.112	0.092	0.14	0.084	0.14	0.084	0.15	0.072
99	0.488	0.044	0.488	0.044	0.424	0.032	0.394	0.086	0.394	0.086	0.364	0.052	0.4	0.096	0.4	0.096	0.428	0.05
105	0.782	0.352	0.782	0.352	0.804	0.354	0.528	0.066	0.528	0.066	0.554	0.052	0.596	0.154	0.596	0.154	0.614	0.138
101	0.57	0.27	0.57	0.27	0.44	0.278	0.556	0.118	0.556	0.118	0.542	0.09	0.356	0.05	0.356	0.05	0.284	0.054
100	0.896	0.452	0.896	0.452	0.92	0.602	0.684	0.2	0.684	0.2	0.722	0.326	0.722	0.148	0.722	0.148	0.61	0.2
102	0.52	0.048	0.52	0.048	0.498	0.042	0.314	0.01	0.314	0.01	0.302	0.014	0.25	0.04	0.25	0.04	0.33	0.032
103	0.134	0.318	0.134	0.318	0.236	0.388	0.072	0.116	0.072	0.116	0.154	0.264	0.076	0.084	0.076	0.084	0.172	0.196
104	0.296	0.028	0.296	0.028	0.248	0.028	0.18	0.014	0.18	0.014	0.13	0.008	0.198	0.004	0.198	0.004	0.142	0.008
106	0.444	0.198	0.444	0.198	0.516	0.218	0.424	0.018	0.424	0.018	0.406	0.04	0.246	0.118	0.246	0.118	0.192	0.094
108	0.058	0.006	0.058	0.006	0.05	0.006	0.026	0.004	0.026	0.004	0.028	0	0.026	0	0.026	0	0.024	0
107	0.234	0.058	0.234	0.058	0.2	0.016	0.13	0.014	0.13	0.014	0.102	0.006	0.112	0.012	0.112	0.012	0.106	0.002
115	0.116	0.044	0.116	0.044	0.112	0.08	0.062	0.022	0.062	0.022	0.074	0.024	0.062	0.018	0.062	0.018	0.072	0.022
111	0.132	0.098	0.132	0.098	0.076	0.034	0.27	0.18	0.27	0.18	0.144	0.118	0.286	0.042	0.286	0.042	0.162	0.026
112	0.29	0.338	0.29	0.338	0.372	0.36	0.176	0.124	0.176	0.124	0.328	0.108	0.206	0.02	0.206	0.02	0.214	0.03
116	0.218	0.258	0.218	0.258	0.248	0.378	0.16	0.184	0.16	0.184	0.172	0.184	0.154	0.044	0.154	0.044	0.142	0.036
110	0.42	0.164	0.42	0.164	0.274	0.088	0.332	0.238	0.332	0.238	0.216	0.134	0.25	0.1	0.25	0.1	0.252	0.126
109	0.932	0.324	0.932	0.324	0.96	0.286	0.818	0.102	0.818	0.102	0.768	0.092	0.578	0.174	0.578	0.174	0.616	0.168
114	0.588	0.772	0.588	0.772	0.764	0.716	0.512	0.486	0.512	0.486	0.644	0.434	0.486	0.472	0.486	0.472	0.564	0.426
113	0.218	0.09	0.218	0.09	0.12	0.028	0.13	0.034	0.13	0.034	0.072	0.036	0.15	0.024	0.15	0.024	0.096	0.024
117	0.936	0.676	0.936	0.676	0.962	0.78	0.738	0.266	0.738	0.266	0.782	0.37	0.818	0.234	0.818	0.234	0.866	0.37
125	0.134	0.01	0.134	0.01	0.106	0.002	0.086	0.004	0.086	0.004	0.056	0.002	0.13	0.004	0.13	0.004	0.086	0.004
123	0.78	0.388	0.78	0.388	0.684	0.354	0.528	0.196	0.528	0.196	0.45	0.2	0.478	0.186	0.478	0.186	0.506	0.2
122	0.078	0.006	0.078	0.006	0.068	0.002	0.056	0.002	0.056	0.002	0.052	0	0.072	0.006	0.072	0.006	0.06	0
124	0.23	0.132	0.23	0.132	0.206	0.11	0.368	0.032	0.368	0.032	0.3	0.06	0.212	0.016	0.212	0.016	0.26	0.012
121	0.354	0.308	0.354	0.308	0.302	0.324	0.55	0.1	0.55	0.1	0.54	0.114	0.132	0.088	0.132	0.088	0.094	0.064
131	0.822	0.496	0.822	0.496	0.696	0.432	0.724	0.366	0.724	0.366	0.616	0.442	0.808	0.554	0.808	0.554	0.682	0.494
130	0.598	0.12	0.598	0.12	0.652	0.094	0.38	0.086	0.38	0.086	0.404	0.07	0.362	0.064	0.362	0.064	0.384	0.062
126	0.724	0.454	0.724	0.454	0.798	0.328	0.478	0.692	0.478	0.692	0.574	0.684	0.548	0.66	0.548	0.66	0.64	0.668
120	0.184	0.066	0.184	0.066	0.166	0.044	0.136	0.05	0.136	0.05	0.092	0.034	0.17	0.036	0.17	0.036	0.154	0.026
129	0.742	0.49	0.742	0.49	0.59	0.384	0.848	0.084	0.848	0.084	0.82	0.05	0.854	0.472	0.854	0.472	0.882	0.354
127	0.824	0.338	0.824	0.338	0.902	0.356	0.806	0.316	0.806	0.316	0.876	0.388	0.5	0.096	0.5	0.096	0.502	0.084
119	0.254	0.006	0.254	0.006	0.188	0.008	0.19	0.01	0.19	0.01	0.132	0.004	0.196	0.002	0.196	0.002	0.158	0.004
118	0.588	0.482	0.588	0.482	0.762	0.494	0.37	0.34	0.37	0.34	0.488	0.494	0.348	0.036	0.348	0.036	0.28	0.032
128	0.664	0.282	0.664	0.282	0.664	0.248	0.442	0.456	0.442	0.456	0.466	0.45	0.478	0.422	0.478	0.422	0.516	0.434
134	0.726	0.116	0.726	0.116	0.666	0.078	0.472	0.034	0.472	0.034	0.414	0.018	0.546	0.126	0.546	0.126	0.458	0.088
132	0.388	0.124	0.388	0.124	0.394	0.098	0.91	0.786	0.91	0.786	0.86	0.764	0.728	0.506	0.728	0.506	0.804	0.542
133	0.184	0.048	0.184	0.048	0.168	0.106	0.128	0.02	0.128	0.02	0.102	0.05	0.162	0.02	0.162	0.02	0.14	0.044
140	0.324	0.332	0.324	0.332	0.096	0.118	0.316	0.532	0.316	0.532	0.088	0.268	0.324	0.344	0.324	0.344	0.09	0.234
142	0.198	0.08	0.198	0.08	0.184	0.06	0.292	0.026	0.292	0.026	0.272	0.014	0.376	0.026	0.376	0.026	0.354	0.03
141	0.134	0.19	0.134	0.19	0.174	0.268	0.098	0.052	0.098	0.052	0.11	0.08	0.136	0.118	0.136	0.118	0.14	0.186
139	0.084	0.004	0.084	0.004	0.118	0.028	0.052	0.002	0.052	0.002	0.072	0.006	0.062	0	0.062	0	0.082	0.006
144	0.714	0.272	0.714	0.272	0.486	0.21	0.466	0.082	0.466	0.082	0.332	0.052	0.484	0.074	0.484	0.074	0.378	0.056
143	0.328	0.238	0.328	0.238	0.312	0.202	0.178	0.07	0.178	0.07	0.174	0.054	0.24	0.058	0.24	0.058	0.244	0.05
137	0.136	0.01	0.136	0.01	0.122	0.006	0.062	0.014	0.062	0.014	0.066	0.01	0.08	0.004	0.08	0.004	0.082	0.008
135	0.844	0.512	0.844	0.512	0.906	0.47	0.792	0.214	0.792	0.214	0.774	0.136	0.31	0.108	0.31	0.108	0.264	0.078
136	0.554	0.512	0.554	0.512	0.47	0.572	0.482	0.234	0.482	0.234	0.392	0.348	0.432	0.222	0.432	0.222	0.386	0.3
138	0.31	0.018	0.31	0.018	0.22	0.018	0.35	0.006	0.35	0.006	0.314	0.012	0.098	0.004	0.098	0.004	0.09	0.004
145	0.216	0.044	0.216	0.044	0.274	0.07	0.14	0.01	0.14	0.01	0.22	0.022	0.164	0.004	0.164	0.004	0.24	0.014
146	0.136	0.21	0.136	0.21	0.11	0.136	0.068	0.066	0.068	0.066	0.072	0.042	0.082	0.046	0.082	0.046	0.084	0.036
149	0.796	0.27	0.796	0.27	0.836	0.376	0.852	0.502	0.852	0.502	0.87	0.626	0.76	0.204	0.76	0.204	0.758	0.192
147	0.792	0.816	0.792	0.816	0.838	0.888	0.524	0.79	0.524	0.79	0.576	0.888	0.428	0.264	0.428	0.264	0.37	0.172
148	0.12	0.514	0.12	0.514	0.096	0.326	0.064	0.204	0.064	0.204	0.046	0.104	0.094	0.168	0.094	0.168	0.072	0.11
152	0.384	0.08	0.384	0.08	0.318	0.066	0.402	0.054	0.402	0.054	0.35	0.014	0.144	0.004	0.144	0.004	0.122	0.014
151	0.248	0.01	0.248	0.01	0.182	0.004	0.216	0.004	0.216	0.004	0.27	0.004	0.256	0.002	0.256	0.002	0.316	0.006
154	0.854	0.426	0.854	0.426	0.762	0.47	0.838	0.19	0.838	0.19	0.75	0.27	0.624	0.066	0.624	0.066	0.594	0.064
150	0.344	0.182	0.344	0.182	0.19	0.104	0.316	0.048	0.316	0.048	0.194	0.038	0.354	0.052	0.354	0.052	0.224	0.03
153	0.392	0.076	0.392	0.076	0.39	0.108	0.218	0.022	0.218	0.022	0.246	0.032	0.246	0.02	0.246	0.02	0.272	0.03
157	0.392	0.256	0.392	0.256	0.35	0.268	0.394	0.09	0.394	0.09	0.386	0.074	0.368	0.096	0.368	0.096	0.404	0.072
174	0.566	0.452	0.566	0.452	0.4	0.392	0.604	0.102	0.604	0.102	0.472	0.06	0.308	0.094	0.308	0.094	0.386	0.11
173	0.13	0.1	0.13	0.1	0.092	0.068	0.078	0.096	0.078	0.096	0.052	0.078	0.074	0.078	0.074	0.078	0.042	0.052
172	0.608	0.056	0.608	0.056	0.376	0.088	0.392	0.024	0.392	0.024	0.464	0.036	0.284	0.024	0.284	0.024	0.144	0.026
163	0.064	0.254	0.064	0.254	0.034	0.174	0.074	0.144	0.074	0.144	0.046	0.108	0.074	0.004	0.074	0.004	0.054	0
160	0.648	0.428	0.648	0.428	0.486	0.306	0.466	0.738	0.466	0.738	0.324	0.666	0.496	0.15	0.496	0.15	0.374	0.192
159	0.412	0.09	0.412	0.09	0.396	0.046	0.318	0.05	0.318	0.05	0.324	0.032	0.368	0.08	0.368	0.08	0.37	0.066
158	0.49	0.098	0.49	0.098	0.464	0.094	0.32	0.094	0.32	0.094	0.292	0.08	0.218	0.064	0.218	0.064	0.262	0.056
155	0.188	0.164	0.188	0.164	0.16	0.114	0.276	0.124	0.276	0.124	0.2	0.084	0.286	0.124	0.286	0.124	0.24	0.074
156	0.562	0.31	0.562	0.31	0.544	0.31	0.45	0.128	0.45	0.128	0.394	0.14	0.482	0.162	0.482	0.162	0.452	0.188
161	0.138	0.016	0.138	0.016	0.142	0.01	0.09	0.006	0.09	0.006	0.092	0.006	0.098	0.004	0.098	0.004	0.116	0.002
162	0.998	0.668	0.998	0.668	1	0.742	0.994	0.296	0.994	0.296	0.996	0.286	0.654	0.206	0.654	0.206	0.666	0.27
178	0.276	0.352	0.276	0.352	0.212	0.248	0.28	0.538	0.28	0.538	0.152	0.378	0.262	0.15	0.262	0.15	0.172	0.092
165	0.486	0.016	0.486	0.016	0.59	0.036	0.4	0.004	0.4	0.004	0.456	0.012	0.242	0.006	0.242	0.006	0.226	0.006
164	0.168	0.032	0.168	0.032	0.222	0.026	0.134	0.016	0.134	0.016	0.15	0.012	0.15	0.012	0.15	0.012	0.16	0.01
179	0.71	0.272	0.71	0.272	0.754	0.276	0.478	0.112	0.478	0.112	0.534	0.106	0.376	0.056	0.376	0.056	0.364	0.064
166	0.19	0.076	0.19	0.076	0.12	0.058	0.154	0.082	0.154	0.082	0.118	0.062	0.166	0.094	0.166	0.094	0.128	0.054
177	0.838	0.134	0.838	0.134	0.746	0.088	0.66	0.018	0.66	0.018	0.616	0.018	0.716	0.24	0.716	0.24	0.7	0.122
176	0.874	0.476	0.874	0.476	0.87	0.318	0.812	0.302	0.812	0.302	0.794	0.26	0.822	0.31	0.822	0.31	0.846	0.272
183	0.502	0.72	0.502	0.72	0.494	0.796	0.386	0.618	0.386	0.618	0.352	0.67	0.456	0.284	0.456	0.284	0.43	0.296
170	0.646	0.032	0.646	0.032	0.478	0.022	0.428	0.008	0.428	0.008	0.364	0.01	0.352	0.004	0.352	0.004	0.398	0.002
171	0.16	0.208	0.16	0.208	0.076	0.088	0.162	0.22	0.162	0.22	0.05	0.082	0.236	0.078	0.236	0.078	0.068	0.098
169	0.83	0.342	0.83	0.342	0.816	0.31	0.59	0.496	0.59	0.496	0.552	0.458	0.622	0.474	0.622	0.474	0.602	0.374
168	0.734	0.098	0.734	0.098	0.882	0.13	0.602	0.05	0.602	0.05	0.622	0.06	0.146	0.032	0.146	0.032	0.098	0.018
184	0.59	0.096	0.59	0.096	0.666	0.12	0.448	0.188	0.448	0.188	0.5	0.226	0.28	0.23	0.28	0.23	0.238	0.258
185	0.44	0.362	0.44	0.362	0.374	0.352	0.276	0.164	0.276	0.164	0.23	0.214	0.348	0.148	0.348	0.148	0.302	0.202
167	0.554	0.156	0.554	0.156	0.468	0.124	0.65	0.066	0.65	0.066	0.608	0.026	0.328	0.088	0.328	0.088	0.4	0.064
175	0.222	0.03	0.222	0.03	0.218	0.022	0.134	0.01	0.134	0.01	0.136	0.01	0.142	0.006	0.142	0.006	0.152	0.008
181	0.072	0.064	0.072	0.064	0.072	0.142	0.052	0.026	0.052	0.026	0.052	0.06	0.052	0.024	0.052	0.024	0.056	0.058
182	0.868	0.376	0.868	0.376	0.824	0.424	0.868	0.288	0.868	0.288	0.79	0.39	0.926	0.77	0.926	0.77	0.854	0.612
180	0.534	0.354	0.534	0.354	0.408	0.364	0.364	0.152	0.364	0.152	0.314	0.154	0.384	0.284	0.384	0.284	0.206	0.216
187	0.176	0.062	0.176	0.062	0.076	0.102	0.176	0.016	0.176	0.016	0.076	0.032	0.1	0.018	0.1	0.018	0.034	0.022
186	0.356	0.322	0.356	0.322	0.194	0.148	0.36	0.378	0.36	0.378	0.214	0.256	0.394	0.368	0.394	0.368	0.258	0.246
191	0.594	0.192	0.594	0.192	0.402	0.126	0.392	0.026	0.392	0.026	0.234	0.034	0.426	0.07	0.426	0.07	0.284	0.062
188	0.692	0.208	0.692	0.208	0.458	0.138	0.7	0.128	0.7	0.128	0.526	0.072	0.756	0.214	0.756	0.214	0.594	0.234
189	0.38	0.148	0.38	0.148	0.328	0.196	0.22	0.054	0.22	0.054	0.16	0.072	0.252	0.038	0.252	0.038	0.204	0.07
190	0.546	0.51	0.546	0.51	0.478	0.436	0.86	0.606	0.86	0.606	0.868	0.43	0.898	0.428	0.898	0.428	0.902	0.456
192	0.876	0.474	0.876	0.474	0.892	0.394	0.658	0.178	0.658	0.178	0.648	0.154	0.734	0.192	0.734	0.192	0.696	0.328
194	0.812	0.276	0.812	0.276	0.966	0.452	0.638	0.336	0.638	0.336	0.842	0.466	0.382	0.11	0.382	0.11	0.336	0.038
193	0.48	0.422	0.48	0.422	0.492	0.432	0.33	0.436	0.33	0.436	0.42	0.516	0.37	0.436	0.37	0.436	0.474	0.508
208	0.442	0.122	0.442	0.122	0.36	0.122	0.648	0.274	0.648	0.274	0.542	0.192	0.414	0.064	0.414	0.064	0.582	0.126
209	0.25	0.006	0.25	0.006	0.26	0.018	0.148	0.006	0.148	0.006	0.16	0.008	0.194	0.01	0.194	0.01	0.216	0.016
206	0.148	0.014	0.148	0.014	0.092	0.01	0.136	0.008	0.136	0.008	0.066	0.004	0.172	0.004	0.172	0.004	0.084	0.002
