"run_ID"	"omni_ns_pvalue"	"omni_ns_stdpvalue"	"omni_is_pvalue"	"omni_is_stdpvalue"	"omni_ls_pvalue"	"omni_ls_stdpvalue"	"link_ns_pvalue"	"link_ns_stdpvalue"	"link_is_pvalue"	"link_is_stdpvalue"	"link_ls_pvalue"	"link_ls_stdpvalue"	"form_ns_pvalue"	"form_ns_stdpvalue"	"form_is_pvalue"	"form_is_stdpvalue"	"form_ls_pvalue"	"form_ls_stdpvalue"
4	0.452	0.39	0.452	0.39	0.496	0.378	0.276	0.188	0.276	0.188	0.26	0.144	0.276	0.168	0.276	0.168	0.26	0.14
2	0.408	0.514	0.408	0.514	0.308	0.366	0.964	0.952	0.964	0.952	0.77	0.83	0.898	0.562	0.898	0.562	0.806	0.764
3	0.954	0.778	0.954	0.778	0.836	0.846	0.774	0.9	0.774	0.9	0.62	0.758	0.432	0.4	0.432	0.4	0.286	0.278
31	0.912	0.19	0.912	0.19	0.924	0.356	0.758	0.588	0.758	0.588	0.84	0.558	0.828	0.91	0.828	0.91	0.882	0.926
18	0.446	0.278	0.446	0.278	0.488	0.288	0.982	0.626	0.982	0.626	0.992	0.604	0.618	0.138	0.618	0.138	0.572	0.15
35	0.748	0.394	0.748	0.394	0.778	0.634	0.64	0.78	0.64	0.78	0.556	0.68	0.708	0.74	0.708	0.74	0.668	0.684
16	0.968	0.854	0.968	0.854	0.952	0.846	0.912	0.776	0.912	0.776	0.928	0.652	0.928	0.804	0.928	0.804	0.932	0.83
29	0.452	0.358	0.452	0.358	0.364	0.272	0.276	0.152	0.276	0.152	0.236	0.118	0.338	0.144	0.338	0.144	0.266	0.096
34	0.49	0.844	0.49	0.844	0.276	0.532	0.39	0.446	0.39	0.446	0.444	0.352	0.462	0.428	0.462	0.428	0.436	0.344
20	0.362	0.228	0.362	0.228	0.408	0.49	0.306	0.422	0.306	0.422	0.288	0.536	0.41	0.404	0.41	0.404	0.416	0.542
36	0.974	0.846	0.974	0.846	0.848	0.864	0.872	0.398	0.872	0.398	0.888	0.416	0.904	0.824	0.904	0.824	0.814	0.824
27	0.892	0.904	0.892	0.904	0.918	0.92	0.742	0.696	0.742	0.696	0.722	0.638	0.792	0.916	0.792	0.916	0.778	0.894
21	0.688	0.192	0.688	0.192	0.778	0.442	0.828	0.636	0.828	0.636	0.858	0.644	0.88	0.768	0.88	0.768	0.824	0.734
17	0.452	0.268	0.452	0.268	0.392	0.198	0.264	0.118	0.264	0.118	0.272	0.078	0.38	0.19	0.38	0.19	0.314	0.114
25	0.626	0.596	0.626	0.596	0.484	0.506	0.854	0.51	0.854	0.51	0.936	0.386	0.858	0.842	0.858	0.842	0.908	0.858
26	0.862	0.546	0.862	0.546	0.842	0.528	0.84	0.546	0.84	0.546	0.866	0.65	0.756	0.842	0.756	0.842	0.652	0.89
15	0.364	0.402	0.364	0.402	0.412	0.406	0.228	0.424	0.228	0.424	0.246	0.388	0.33	0.478	0.33	0.478	0.356	0.588
5	0.764	0.972	0.764	0.972	0.856	0.99	0.552	0.802	0.552	0.802	0.666	0.864	0.588	0.808	0.588	0.808	0.698	0.848
30	0.486	0.624	0.486	0.624	0.574	0.572	0.726	0.428	0.726	0.428	0.712	0.394	0.77	0.506	0.77	0.506	0.736	0.464
38	0.796	0.748	0.796	0.748	0.802	0.758	0.572	0.756	0.572	0.756	0.552	0.802	0.634	0.452	0.634	0.452	0.6	0.49
